Family,Cluster,Category,Identity, 
ICS4,1,CD45RA-,"IL17hi, TNF hi, CD45RA lo, CD4+",
ICS4,2,CD45RA-,"CD45RA lo, TNF+, CD4+",
ICS4,3,CD45RA+,"CD45RA hi, IL8 hi, IL2 hi, CD4+",
ICS4,4,CD45RA-,"CD45RA lo, IL4 hi, TNF hi, IL2+, CD4+",
ICS4,5,CD45RA-,"CD45RA lo, IFNg hi (polyfunctional) CD4+ ",
ICS4,6,CD45RA-,"CD45RA lo, cytokine lo, CD4+",
ICS4,7,CD45RA+,"IL4+, CD45RA+, CD4+ ",
ICS4,8,CD45RA-,"TNF+, IL4 hi, CD45RA lo, CD4+ ",
ICS4,9,CD45RA+,"CD45RA hi, IL8 hi, TNF+, CD4+",
ICS4,10,CD45RA-,"CD45RA lo, IL8hi, CD4+ ",
ICS4,11,CD45RA+,"CD45RA hi, IL8 hi, IL2+, CD4+",
ICS4,12,CD45RA+,"CD45RA+, IL8+, IL2+, CD4+",
ICS4,13,CD45RA+,"IL8 hi, CD45RA+ CD4+ ",
ICS4,14,CD45RA+,"CD45RA hi (low, polyfunctional cytokine), CD4+",
ICS4,15,CD45RA+,"CD45RA hi, IL2 hi, CD4+",
ICS4,16,CD45RA+,"IL2 hi, CD45RA+, CD4+ ",
ICS4,17,CD45RA+,"CD45RA+, IL2+, TNF hi, CD4+",
ICS4,18,CD45RA+,"TNFa hi, IL2 hi CD4+ ",
ICS8,1,CD45RA+,"IL4hi, CD45RA+, CD8+ ",
ICS8,2,CD45RA-,"CD45A lo,TNF+, IFNg+, CD107a hi, CD8+",
ICS8,3,CD45RA+,"CD45RA+, CD107 hi, IFNg+, TNF+, CD8+",
ICS8,4,CD45RA+,"CD45RAhi, IFNg hi, CD8+",
ICS8,5,CD45RA-,"IFNg hi, CD107a hi, CD45RA lo, CD8+",
ICS8,6,CD45RA+,"TNF hi, CD45RA hi, CD8+ ",
ICS8,7,CD45RA+,"CD45RA hi, TNFhi, IL2+",
ICS8,8,CD45RA+,"IL8 hi, CDRA+ CD8+ ",
ICS8,9,CD45RA+,"CD45RA+, cytokine lo, CD8+ ",
ICS8,10,CD45RA+,"CD45RA+, IL8 hi, CD8+",
ICS8,11,CD45RA+,"IL2 hi, CDRA+ CD8+ ",
ICS8,12,CD45RA+,"CD45RAhi, cytokine lo, CD8+",
Tphe4,1,TE,"FOXP3 hi, CD45RO lo, CCR7 lo, CD28 lo, CD4+",
Tphe4,2,CM,"IL7ra lo, FOXP3 hi, CD31 hi, CD45RO+, CD4+ ",
Tphe4,3,EM,"IL7ra lo, CD31 lo, CD28+, CD45RO+, CCR7 lo, CD4+",
Tphe4,4,N,"IL7ra lo, FOXP3 hi, CD31+, CCR7+, CD4+ ",
Tphe4,5,CM,"IL7ra lo, FOXP3+, CD28+, CD31 lo, CD45RO+ CCR7+, CXCR5 hi, CD4+ ",
Tphe4,6,CM,"IL7ra lo, FOXP3 hi, CD31 lo, CD28 hi, CD45RO hi, CCR7+, CD4+ ",
Tphe4,8,CM,"CD31 hi, CD28+, CCR7+, CD4+",
Tphe4,9,TE,"CD31 lo, CD28 hi, CD45RO lo, CCR7 lo, CD4+",
Tphe4,10,N,"CD31+, CCR7 hi, CD45RO lo, CD4+ ",
Tphe4,11,EM,"FOXP3 hi, CD28 hi, CD45RO hi, CCR7 lo, CD4+",
Tphe4,12,EM,"IL7ra+, CD45RO hi, CD28 hi, CCR7 lo, CD4+ ",
Tphe4,13,CM,"CD31 hi, CD28+, CD45RO+, CCR7+, CD4+ ",
Tphe4,14,CM,"CD28+, CD45RO+, CCR7+, CD4+",
Tphe4,15,CM,"IL7ra hi, CD31 lo, CD28 hi, CD45RO hi, CCR7+, CD4+",
Tphe4,16,TE,"CD57 hi, CD31 lo, CD45RO+, CD4+ ",
Tphe4,17,CM,"CD31 lo, CD45RO+, CXCR5 hi, CD4+",
Tphe4,18,N,"IL7ra hi, CD28+, CD45RO lo, CCR7+, CD57+, CD4+ ",
Tphe 4,19,N,"FOXP3hi, CD31+, CD28+, CD45RO lo, CCR7+, CD4+",
Tphe4,20,EM,"IL7ra hi, CD28 hi, CD31 lo, CD45RO hi, CCR7 lo, CD57 hi, CD4+ ",
Tphe4,21,CM,"CD31 lo, IL7ra+, CD28+ CD45RO+, CCR7+, CXCR5+, CD4+ ",
Tphe4,22,N,"IL7ra lo, CD31+, CD28+, CD45RO lo, CCR7+, CD4+ ",
Tphe4,23,N,"CD31 lo, CD45RO lo, CD28+, CCR7+, CXCR5 hi, CD4+",
Tphe4,24,N,"FOXP3 hi, CD28 hi, CD31 lo, CCR7 hi, CD45RO lo, CD4+",
Tphe4,25,N,"IL7ra hi, CD31 hi, CD28 hi, CCR7hi, CD45RO lo, CD4+",
Tphe4,26,N,"IL7ra hi, CD31 lo, CD45RO lo, CD28 hi, CCR7 hi, CD4+ ",
Tphe4,27,TE,"IL7ra hi, CD45RO lo, CD31 lo, CD28+, CCR7 lo, CD4+ ",
Tphe8,1,TE,"Grzm hi, perforin+, CD8+ ",
Tphe8,2,VM,"CD122 hi, IL7ra+, CD31+, CD45RO lo, CD8+ ",
Tphe8,3,VM,"CD122+, IL7ra+, CD31 hi, CD45RO lo, CD8+ ",
Tphe 8,4,N,"IL7ra+, CD31 hi, CD45RO lo, CCR7+, Perforin +, CD8+",
Tphe8,5,N,"CCR7 hi, CD28+, CD31+, CD45RO lo, CD8+ ",
Tphe8,6,CM,"CD31 hi, CXCR5 hi, CD45RO+, CCR7+, CD8+ ",
Tphe8,7,VM,"CD122+, CD31 hi, CD28 hi, CD45RO hi, CCR7 lo, CD57 hi, CD8+",
Tphe8,8,VM,"CD122 hi, CD31 lo, CD28 lo, CD45RO lo, CCR7 lo, CD8+",
Tphe8,9,VM,"CD122 hi, CD31 hi, CD28 lo, CD45RO lo, CCR7 lo, CD8+",
Tphe8,10,N,"IL7ra hi, CD31+, CD28+, CD45RO lo, CCR7+, CD8+ ",
Tphe8,11,EM,"IL7ra lo, CXCR5 hi, CD31+, CD45RO+, CCR7 lo, CD57+, CD8+",
Tphe8,12,CM,"IL7ra hi, CD31 hi, CD45RO+, CCR7+, CD8+",
Tphe8,13,VM,"CD122+, CD31 lo, CD28 lo, CD45RO+, CCR7 lo, Grzm hi, perforin hi, CD8+",
Tphe8,14,N,"IL7ra+, CD31 hi, CD28+, CD45RO-, CCR7 lo, CD8+ ",
Tphe8,15,CM,"CD31 hi, CD28 hi, CD45RO+, CCR7+, CD8+",
Tphe 8,16,TE,"CD31+, CD28 lo, CD45RO lo, CCR7 lo, CD57 hi, Grzm hi, CD8+",
Tphe8,17,N,"CD31+, CD45RO lo, grzm hi, perforin hi, CD8+ ",
Tphe8,18,EM,"IL7ra hi, CD31 hi, CD28 hi, CD45RO hi, CCR7 lo, CD8+",
Tphe8,19,EM,"CD31 lo, CD28+, CD45RO hi, grzm hi, perforin+, CD8+",
Tphe8,20,CM,"CD31 hi, CD45RO hi, CD28 hi, CCR7+, CD8+ ",
Tphe8,21,N,"CD31+, CD45RO lo, grzm hi, perforin hi, CD8+ ",
Tphe8,22,TE,"CD31 hi, CD45RO lo, CCR7 lo, CD57 hi, Grzm hi, Perf hi, CD8+",
Tphe8,23,N,"IL7ra hi, CD31 hi, CD28 lo, CD45RO lo, CCR7 hi, CD8+",
Tphe8,24,N,"IL7ra hi, CD31+, CD28 hi, CD45RO lo, CCR7 hi, CD8+",
