SampleID	ICS IST
N2158_19	ICS IST 8
N2158_7	ICS IST 6
N724D_19	ICS IST 8
N724D_7	ICS IST 2
N174C_19	ICS IST 8
N174C_7	ICS IST 5
N5436_1	ICS IST 1
N5436_7	ICS IST 5
CBFE6_1	ICS IST 7
CBFE6_19	ICS IST 7
CBFE6_7	ICS IST 7
C4FB5_1	ICS IST 4
C4FB5_19	ICS IST 7
C4FB5_7	ICS IST 7
CF2AC_1	ICS IST 3
CF2AC_19	ICS IST 5
CF2AC_7	ICS IST 6
C09B7_1	ICS IST 3
C09B7_19	ICS IST 5
C09B7_7	ICS IST 2
C266E_1	ICS IST 3
C266E_7	ICS IST 6
CE001_1	ICS IST 3
CE001_19	ICS IST 8
C29F5_1	ICS IST 3
C29F5_19	ICS IST 8
C29F5_7	ICS IST 5
C59E6_1	ICS IST 4
C59E6_7	ICS IST 1
C6F73_1	ICS IST 4
C6F73_7	ICS IST 2
C0C1C_1	ICS IST 4
C0C1C_19	ICS IST 8
C0C1C_7	ICS IST 7
C0E4F_1	ICS IST 3
C0E4F_19	ICS IST 8
C0E4F_7	ICS IST 6
CF4B8_1	ICS IST 4
CF4B8_7	ICS IST 1
CE240_1	ICS IST 4
CE240_19	ICS IST 8
CE240_7	ICS IST 6
C7049_1	ICS IST 3
CA3C7_1	ICS IST 4
CA3C7_7	ICS IST 6
C83E3_1	ICS IST 6
C83E3_19	ICS IST 8
C83E3_7	ICS IST 4
C9B72_1	ICS IST 8
C9B72_19	ICS IST 8
C9B72_7	ICS IST 6
C999D_1	ICS IST 3
C999D_7	ICS IST 3
C2ED8_1	ICS IST 5
C2ED8_7	ICS IST 2
C45F4_1	ICS IST 4
C45F4_19	ICS IST 8
C45F4_7	ICS IST 2
C7BA1_1	ICS IST 1
C7BA1_19	ICS IST 6
C7BA1_7	ICS IST 1
C3AED_19	ICS IST 8
C3AED_7	ICS IST 6
C1877_1	ICS IST 3
C84BC_1	ICS IST 3
C84BC_19	ICS IST 8
C84BC_7	ICS IST 6
CE2E7_1	ICS IST 3
CE2E7_7	ICS IST 6
CE068_1	ICS IST 1
CE068_19	ICS IST 8
CE068_7	ICS IST 1
C36B6_1	ICS IST 6
C36B6_19	ICS IST 8
C36B6_7	ICS IST 6
CA122_1	ICS IST 3
CA122_7	ICS IST 3
CEE43_1	ICS IST 4
CEE43_7	ICS IST 6
C5E1F_1	ICS IST 3
C5E1F_19	ICS IST 8
C5E1F_7	ICS IST 6
C572C_1	ICS IST 6
C572C_19	ICS IST 8
C572C_7	ICS IST 2
CB504_1	ICS IST 3
CB504_7	ICS IST 3
C79BB_1	ICS IST 4
C19E5_1	ICS IST 1
C19E5_19	ICS IST 8
C19E5_7	ICS IST 1
CEF3C_1	ICS IST 5
CEF3C_19	ICS IST 5
CF3A8_1	ICS IST 4
CF3A8_19	ICS IST 8
C6732_1	ICS IST 6
C6732_19	ICS IST 8
C4692_1	ICS IST 4
C4692_7	ICS IST 3
CFB76_1	ICS IST 4
C98F2_1	ICS IST 3
C98F2_7	ICS IST 3
C72BB_1	ICS IST 3
C72BB_7	ICS IST 3
CD34B_1	ICS IST 3
C1ED2_1	ICS IST 4
C1ED2_7	ICS IST 4
C94D1_1	ICS IST 4
C94D1_7	ICS IST 4
C7D88_1	ICS IST 6
C7D88_19	ICS IST 8
C7D88_7	ICS IST 6
C9D1D_1	ICS IST 3
C9D1D_19	ICS IST 8
CD47D_1	ICS IST 4
CD47D_7	ICS IST 1
CE827_1	ICS IST 3
CE827_19	ICS IST 8
CE827_7	ICS IST 3
C68E5_1	ICS IST 3
C68E5_7	ICS IST 4
CA3B4_1	ICS IST 3
CA3B4_19	ICS IST 8
CA3B4_7	ICS IST 2
CAF49_1	ICS IST 3
CAF49_7	ICS IST 3
CD4E3_1	ICS IST 4
CD4E3_19	ICS IST 8
CE93B_1	ICS IST 1
CE93B_7	ICS IST 1
C94DD_1	ICS IST 2
C94DD_19	ICS IST 6
C94DD_7	ICS IST 5
C01D8_1	ICS IST 4
C01D8_19	ICS IST 8
C01D8_7	ICS IST 6
C1497_1	ICS IST 2
C1497_19	ICS IST 7
C1497_7	ICS IST 6
C09C2_1	ICS IST 5
C09C2_19	ICS IST 5
C09C2_7	ICS IST 5
C0522_1	ICS IST 1
C0522_19	ICS IST 6
C0522_7	ICS IST 1
C4D1A_1	ICS IST 4
C4D1A_7	ICS IST 4
CE002_1	ICS IST 4
CE002_7	ICS IST 3
CCA49_1	ICS IST 3
CCA49_19	ICS IST 8
CCA49_7	ICS IST 6
CB127_1	ICS IST 4
C2CFE_1	ICS IST 4
C2CFE_7	ICS IST 6
C36AD_1	ICS IST 4
C36AD_19	ICS IST 8
C36AD_7	ICS IST 4
CDDA8_1	ICS IST 6
CDDA8_7	ICS IST 2
C4EAC_1	ICS IST 3
C4EAC_7	ICS IST 5
C7E1B_1	ICS IST 4
C7E1B_19	ICS IST 6
C7E1B_7	ICS IST 3
C99C0_1	ICS IST 6
C99C0_19	ICS IST 8
C99C0_7	ICS IST 1
C53CC_1	ICS IST 4
C53CC_19	ICS IST 7
C53CC_7	ICS IST 6
C5C91_1	ICS IST 2
CE935_1	ICS IST 4
CE935_7	ICS IST 4
CC909_1	ICS IST 3
CC909_7	ICS IST 5
C3AB2_1	ICS IST 6
C3AB2_19	ICS IST 6
C3AB2_7	ICS IST 6
CB1FF_1	ICS IST 4
CB1FF_19	ICS IST 8
CB1FF_7	ICS IST 3
C91A9_1	ICS IST 3
C91A9_7	ICS IST 3
CC7D5_1	ICS IST 2
CC7D5_19	ICS IST 8
CC7D5_7	ICS IST 6
CAEBF_1	ICS IST 4
CAEBF_19	ICS IST 8
CAEBF_7	ICS IST 4
CA55D_1	ICS IST 4
CA55D_7	ICS IST 2
C3D7C_1	ICS IST 4
