"","V1","V2","V3","V4","V5","V6","V7","V8"
"CBFE6_1",6.76783369233208e-68,2.08903806849645e-81,4.10141990166117e-57,1.90498844335729e-78,4.91448192646239e-65,1.45553394508194e-56,6.73535884464642e-44,1
"CBFE6_19",5.83566845081648e-08,5.18557681210101e-22,2.27976709855781e-43,3.60151002845448e-44,8.21366312149624e-47,7.43527827202004e-27,2.7095057265038e-17,0.999999941643315
"CBFE6_7",1.18698528310922e-33,1.74756174287223e-38,1.60701015903077e-27,2.88410571734304e-44,1.0446451853735e-33,1.81966921512008e-28,7.81395426679645e-25,1
"C4FB5_1",1.05766382842262e-29,1.80000038318153e-24,0.99999999967176,4.78839672334443e-24,2.06899219676099e-11,1.20808973232632e-14,2.36910850507975e-23,3.07537660782313e-10
"C4FB5_19",2.15178453320535e-12,2.08372175020819e-32,2.03290567855031e-57,6.43799632363364e-59,7.28268298210876e-53,7.56022690362217e-43,2.05408131633861e-20,0.999999999997848
"C4FB5_7",6.82641543853924e-10,1.10072651863033e-08,5.82545011807314e-14,9.03854866769155e-19,1.54825911225812e-05,1.24770152517773e-20,0.000377906275704103,0.999606599443208
"CB641_1",4.98585888960176e-27,1.02585847567958e-22,9.61174522716039e-22,2.52601721870144e-25,1.99969500512999e-19,6.11071107325132e-21,2.93968299144263e-12,0.99999999999706
"CB641_7",4.61872911903773e-21,3.35162797785135e-10,7.31394519772852e-05,0.000443969135391632,0.999481558006862,2.93674060819628e-11,1.24724099107871e-06,8.5800248260924e-08
"C8AF1_1",3.85489258672115e-29,8.42348482334308e-23,2.15086971814693e-09,2.82597324518115e-15,1.74663958563792e-10,1.37395534392596e-14,3.41618323498903e-11,0.999999997640288
"C8AF1_7",1.38012643789057e-35,6.49607891160013e-38,1.93074961109826e-48,2.1770912632755e-33,9.05011152282052e-50,8.63199402350789e-30,6.23956496283421e-17,1
"C5E05_19",9.38722480562343e-06,0.997093772157389,6.00143430076863e-19,7.69940446743502e-06,1.10236131460759e-18,1.42341928992892e-05,0.00223565658025613,0.000639250440182046
"C5E05_7",8.52263604571919e-06,0.843272832626564,1.44525842610485e-18,1.93143098455216e-06,1.16995432534673e-19,0.000267129139473732,0.00458228097324551,0.151867303193686
