"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"A160QPCG.04",0.433625605811518,0.0315125479498495,0.0477294460759853,2.67503488946289e-06,2.18179392544649e-13,6.41986057640313e-13,2.73895828179259e-12,1.73518549296289e-12,0.487127575545464,5.74668115939927e-19,7.06656146808361e-11,2.14950629391105e-06,1.15859977281584e-26
"A160S1LX.04",0.0162252417222527,0.000159066313455644,1.46524928253069e-08,4.59502037818395e-07,2.51449665461445e-44,1.86753712548085e-21,6.44085023997503e-17,1.44283647973491e-23,6.53337547506373e-11,3.06369855152184e-29,1.51824754317033e-45,0.983615217744427,7.43043882963893e-50
"A160S33D.04",0.907680900469042,6.29438692944554e-07,5.12479262074541e-07,0.00106426163356059,9.68849709743949e-43,3.10906460111355e-10,3.46805741638404e-15,2.10523761915461e-22,0.0912533402977751,4.95816864887469e-24,2.42648129387747e-44,3.55370756832082e-07,5.13368039482417e-29
"A160TQ8N.04",0.000172223073545745,5.61428067415679e-07,0.0174448295010729,0.014754120911507,7.86299322466679e-21,0.967016765779168,9.28297862343518e-10,1.97227072544572e-11,0.000610270243093256,2.31315894103453e-17,7.15401021650351e-19,7.93684796985149e-09,1.22017867767533e-06
"A160VLC8.04",2.47007906540047e-06,7.82901106108504e-05,0.930050803290069,0.00109040355624021,2.21971468200304e-09,0.06874860927954,1.6653598690568e-11,7.93744841521243e-11,9.54540048427259e-08,8.33231018043805e-16,1.11327130993618e-05,1.8153948260237e-05,3.92533660942611e-08
"B160QV60.04",0.994917826090247,0.000670416595776064,2.68816473967452e-08,0.000684293075127243,9.1680394528677e-43,1.11752280752986e-09,7.25584051269692e-15,9.78514811385218e-23,0.00372743513871325,1.76833266442351e-23,1.11831150406234e-41,1.10095901322518e-09,1.38756965226653e-25
"B160RSF5.04",2.85880312755533e-11,0.000175517466330491,0.00346139416437731,1.43479396907828e-05,4.1578130277882e-07,0.00177641033783289,1.29115101209296e-11,5.12165988510745e-09,7.66664470683225e-12,5.7382572341498e-16,0.994571721291733,2.67012650840884e-12,1.87845235582423e-07
"B160S7MS.04",0.831049522599048,0.164950678277478,0.00383241176389071,5.07032661650973e-05,5.77406787827299e-12,2.11359281051599e-16,3.74471351923772e-14,6.78761714212626e-16,1.48623816931118e-06,1.56696815552503e-23,0.000114898916109352,2.98933327360755e-07,1.98628771090207e-32
"B160TQVM.04",0.000486744680286207,4.41977514727834e-05,0.389337094002426,0.00226264156693792,1.08489652033592e-10,0.606471336707558,3.02160874759889e-13,1.33077292299945e-12,0.000753813611035115,5.01298268461629e-16,3.43083906406237e-07,3.91833733641532e-08,0.000643789302880746
"C160R9FX.04",0.999858164864403,0.000141487030548937,3.00074342557568e-08,9.77284722799245e-09,2.14627984614433e-43,9.7698865098958e-22,6.51746268000725e-18,3.37870028372411e-23,3.03591084544e-07,1.15833619060502e-29,1.87053116289529e-43,4.73368169036956e-09,2.01161824960149e-48
