"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"A160S92C.03",0.120820974945416,1.92741981366449e-09,1.33342522537428e-36,0.879179023054892,2.71466738194587e-27,1.2681545947599e-32,1.10331477121611e-60,3.44051443307666e-21,7.2272311493171e-11,2.05866700991541e-26,2.74845398670209e-46,7.55476508082767e-56,2.32642682125674e-62
"A160T87G.03",0.723209546546921,0.000233615995618871,5.62379390696122e-25,0.276552973952041,1.21211326660891e-18,5.53779081213366e-26,4.01953734793787e-49,2.16490293392537e-17,3.86350541934227e-06,8.86271767067236e-17,3.57423649106114e-38,3.36879877212937e-49,2.71738999010426e-53
"A160V6NC.03",0.120241766457354,5.73564314631069e-09,3.99131431123281e-37,0.87975822770815,1.73217924767965e-28,3.63147314495336e-32,2.08036486690501e-61,8.92777578329347e-22,9.88529995762309e-11,5.92816519827716e-26,1.39363564186879e-47,2.63698014609401e-56,7.07831792250471e-66
"A160VR99.03",0.00149562641014053,4.3302955015053e-12,5.61193681606217e-40,0.998504373585068,3.7242744781078e-31,4.76290519037609e-35,5.80894721810536e-65,2.04877889120945e-23,4.61246237344167e-13,2.53378272059484e-29,2.02604155177317e-50,1.60263940788356e-58,2.43963302347536e-67
"A160WGVD.03",1.22856053503799e-39,1.7274288940194e-21,2.45641764575386e-05,7.44419026351681e-59,4.28665380138439e-22,6.55428751157282e-09,5.06111237622012e-28,0.999951705934596,8.17249883119234e-15,2.37233346506033e-05,5.586015948487e-34,7.7377731118807e-20,3.6747450621031e-35
"A160WKRM.03",0.525000820085384,3.79293601390016e-09,6.90305786268951e-37,0.474999176049023,1.23666633696782e-28,7.54753038940611e-33,5.17296540607531e-62,6.09953328393998e-21,7.26570612736582e-11,1.36656989884279e-25,1.12982490260489e-48,1.35190389847996e-56,9.36238834919889e-65
"A160WR8B.03",4.8253358239334e-25,8.47338589408288e-13,0.095829320023198,9.1002867827289e-31,4.73398477356723e-10,3.42905784640653e-05,2.89812905163628e-22,0.904120053701819,3.30767987264492e-06,1.30275423999549e-05,3.67325119258108e-17,3.8905023933309e-20,2.90962068615128e-28
"B160S0BW.03",1.2208646628069e-24,1.2961368708003e-10,0.000449268281988878,1.2607591312042e-39,7.98027607813133e-10,3.48074126993126e-11,1.56164530343486e-21,9.56692614539094e-05,3.60191534923228e-09,0.999455057892193,4.09383033481572e-24,1.97356590852989e-24,2.1546716370003e-18
"B160ST6B.03",0.999953951889874,4.07311216949755e-05,5.12655206924895e-28,5.18846645086599e-06,1.26960699467023e-19,2.62477858023752e-25,3.50798835802043e-49,2.85858936719646e-16,1.28521979347144e-07,5.68344063132e-17,1.16128214082229e-37,1.99628334443915e-47,1.64073206102053e-53
"B160SXJW.03",0.999476399904091,0.000256458132056662,6.49640132786279e-33,0.000266869184466681,3.1975764923023e-22,5.75323627555822e-29,3.84175419197966e-57,7.53080465675457e-18,2.72779385891903e-07,1.74377622206021e-17,2.43166240938853e-43,2.86257913729981e-52,4.71735154013209e-63
"B160SZ8D.03",0.000461093602130085,0.999379360649653,1.06190223359687e-15,3.17508177462301e-13,1.30269165158773e-06,1.06859663755549e-19,3.1622171041092e-30,2.8741124867503e-14,0.000157524261880588,7.18794337194611e-07,1.42684227418207e-19,8.11326589050707e-39,2.39024832915363e-39
"B160T0BD.03",0.000178038137896262,0.998721124676313,4.81897247338983e-16,1.00311976878505e-14,4.8005189991581e-07,2.48766184860045e-18,5.72906410167837e-31,9.78913996879191e-15,0.00109788416920468,2.47296466534916e-06,2.19057656798739e-20,2.0717370410927e-39,2.04022442967709e-38
"B160TKLW.03",0.975411674187165,0.0245882346405869,2.72297273169361e-31,3.03651122468997e-09,2.99088098911362e-23,8.81503129424131e-29,2.97851777948268e-57,9.77501477729872e-21,8.81357353027568e-08,1.68824626446747e-15,5.23946358694025e-46,9.07582739571519e-55,3.56613262033645e-62
"B160TKNY.03",0.96856165477934,0.0305542079546936,2.86467812227693e-25,0.000882793800356792,2.65108141663181e-18,5.73125538211086e-26,4.75601914147744e-51,4.86080110665371e-17,1.34346537326902e-06,2.35973434190493e-13,2.6591048386976e-39,2.14267215937983e-51,6.06072407636938e-42
"B160TS97.03",0.957439287379417,0.042482248146874,7.21950375950294e-29,2.84329143397618e-09,1.84627543619303e-19,9.11242976516877e-24,3.25083367630499e-53,5.39747199783225e-13,7.8461543274821e-05,8.66026015978059e-11,9.20181200637316e-45,1.61881293072315e-47,4.06557144518923e-47
