SampleID	TPHE IST
N2158_19	TPHE IST 7
N2158_7	TPHE IST 4
N724D_19	TPHE IST 7
N724D_7	TPHE IST 3
N52A3_19	TPHE IST 6
N52A3_7	TPHE IST 1
N174C_19	TPHE IST 7
N174C_7	TPHE IST 1
N5436_1	TPHE IST 1
N5436_7	TPHE IST 3
NB0D2_1	TPHE IST 1
NB0D2_7	TPHE IST 5
CBFE6_1	TPHE IST 5
CBFE6_19	TPHE IST 6
CBFE6_7	TPHE IST 5
C4FB5_1	TPHE IST 5
C4FB5_7	TPHE IST 6
CF2AC_1	TPHE IST 5
CF2AC_19	TPHE IST 6
CF2AC_7	TPHE IST 5
C09B7_1	TPHE IST 5
C09B7_19	TPHE IST 5
C09B7_7	TPHE IST 5
C266E_1	TPHE IST 4
C266E_7	TPHE IST 4
CE001_1	TPHE IST 3
CE001_19	TPHE IST 7
CE001_7	TPHE IST 3
C29F5_1	TPHE IST 5
C29F5_19	TPHE IST 6
C29F5_7	TPHE IST 3
C59E6_1	TPHE IST 2
C59E6_7	TPHE IST 2
CFE39_1	TPHE IST 5
CFE39_19	TPHE IST 7
CFE39_7	TPHE IST 5
C6F73_1	TPHE IST 2
C6F73_7	TPHE IST 3
CB603_1	TPHE IST 5
CB603_19	TPHE IST 7
CB603_7	TPHE IST 5
C0C1C_1	TPHE IST 2
C0C1C_19	TPHE IST 7
C0C1C_7	TPHE IST 4
C0E4F_1	TPHE IST 3
C0E4F_19	TPHE IST 7
C0E4F_7	TPHE IST 3
CF4B8_1	TPHE IST 3
CF4B8_7	TPHE IST 3
CE240_1	TPHE IST 4
CE240_19	TPHE IST 7
CE240_7	TPHE IST 4
C7049_1	TPHE IST 2
C7049_7	TPHE IST 3
CA3C7_1	TPHE IST 4
CA3C7_7	TPHE IST 4
C83E3_1	TPHE IST 4
C83E3_19	TPHE IST 7
C83E3_7	TPHE IST 4
C9B72_1	TPHE IST 2
C9B72_19	TPHE IST 5
C9B72_7	TPHE IST 4
C999D_1	TPHE IST 4
C999D_7	TPHE IST 4
C2ED8_1	TPHE IST 4
C2ED8_7	TPHE IST 4
C45F4_1	TPHE IST 4
C45F4_19	TPHE IST 7
C45F4_7	TPHE IST 5
C7BA1_1	TPHE IST 5
C7BA1_19	TPHE IST 7
C7BA1_7	TPHE IST 5
C3AED_1	TPHE IST 5
C3AED_19	TPHE IST 6
C3AED_7	TPHE IST 5
C1877_1	TPHE IST 6
C1877_7	TPHE IST 6
C84BC_1	TPHE IST 5
C84BC_19	TPHE IST 6
C84BC_7	TPHE IST 5
CE2E7_1	TPHE IST 2
CE2E7_7	TPHE IST 2
CE068_1	TPHE IST 5
CE068_19	TPHE IST 6
CE068_7	TPHE IST 5
C36B6_1	TPHE IST 5
C36B6_19	TPHE IST 5
C36B6_7	TPHE IST 5
CA122_1	TPHE IST 2
CA122_7	TPHE IST 2
CEE43_1	TPHE IST 2
CEE43_7	TPHE IST 2
C5E1F_1	TPHE IST 5
C5E1F_19	TPHE IST 7
C5E1F_7	TPHE IST 5
C572C_1	TPHE IST 4
C572C_19	TPHE IST 7
C572C_7	TPHE IST 5
CB504_1	TPHE IST 2
CB504_7	TPHE IST 4
C79BB_1	TPHE IST 4
C19E5_1	TPHE IST 2
C19E5_19	TPHE IST 7
C19E5_7	TPHE IST 3
CEF3C_1	TPHE IST 1
CEF3C_19	TPHE IST 7
CEF3C_7	TPHE IST 1
C6732_1	TPHE IST 3
C6732_19	TPHE IST 7
C6732_7	TPHE IST 5
CFB76_1	TPHE IST 2
C98F2_1	TPHE IST 4
C98F2_7	TPHE IST 4
C72BB_1	TPHE IST 2
C72BB_7	TPHE IST 2
CD34B_1	TPHE IST 2
C1ED2_1	TPHE IST 2
C1ED2_7	TPHE IST 2
C94D1_1	TPHE IST 2
C94D1_7	TPHE IST 2
C7D88_1	TPHE IST 1
C7D88_19	TPHE IST 7
C7D88_7	TPHE IST 3
CD47D_1	TPHE IST 2
CD47D_7	TPHE IST 2
CE827_1	TPHE IST 2
CE827_19	TPHE IST 7
CE827_7	TPHE IST 4
C68E5_1	TPHE IST 2
C68E5_7	TPHE IST 4
CA3B4_1	TPHE IST 1
CA3B4_19	TPHE IST 7
CA3B4_7	TPHE IST 3
CAF49_1	TPHE IST 4
CAF49_7	TPHE IST 4
C94DD_1	TPHE IST 4
C94DD_19	TPHE IST 7
C94DD_7	TPHE IST 4
C01D8_1	TPHE IST 2
C01D8_19	TPHE IST 7
C01D8_7	TPHE IST 2
C1497_1	TPHE IST 1
C1497_19	TPHE IST 7
C1497_7	TPHE IST 3
C09C2_1	TPHE IST 2
C09C2_19	TPHE IST 7
C09C2_7	TPHE IST 2
C0522_1	TPHE IST 2
C0522_19	TPHE IST 7
C0522_7	TPHE IST 4
C4D1A_1	TPHE IST 2
C4D1A_7	TPHE IST 2
CE002_1	TPHE IST 2
CE002_7	TPHE IST 3
CCA49_1	TPHE IST 1
CCA49_19	TPHE IST 6
CCA49_7	TPHE IST 3
CB127_1	TPHE IST 6
C2CFE_1	TPHE IST 2
C2CFE_7	TPHE IST 4
C36AD_1	TPHE IST 2
C36AD_19	TPHE IST 7
C36AD_7	TPHE IST 2
CDDA8_1	TPHE IST 2
CDDA8_7	TPHE IST 4
C4EAC_1	TPHE IST 2
C4EAC_7	TPHE IST 2
C7E1B_1	TPHE IST 2
C7E1B_19	TPHE IST 7
C7E1B_7	TPHE IST 2
C99C0_1	TPHE IST 2
C99C0_19	TPHE IST 6
C99C0_7	TPHE IST 3
C53CC_1	TPHE IST 1
C53CC_19	TPHE IST 6
C53CC_7	TPHE IST 2
C5C91_1	TPHE IST 2
CE935_1	TPHE IST 1
CE935_7	TPHE IST 1
CC909_1	TPHE IST 4
CC909_7	TPHE IST 4
C3AB2_1	TPHE IST 4
C3AB2_19	TPHE IST 7
C3AB2_7	TPHE IST 4
CB1FF_1	TPHE IST 4
CB1FF_19	TPHE IST 7
CB1FF_7	TPHE IST 4
C91A9_1	TPHE IST 2
C91A9_7	TPHE IST 4
CC7D5_1	TPHE IST 2
CC7D5_19	TPHE IST 7
CC7D5_7	TPHE IST 3
CAEBF_1	TPHE IST 2
CAEBF_19	TPHE IST 7
CAEBF_7	TPHE IST 2
CA55D_1	TPHE IST 3
CA55D_19	TPHE IST 7
CA55D_7	TPHE IST 3
C3D7C_1	TPHE IST 2
C3D7C_19	TPHE IST 7
C8226_1	TPHE IST 2
C8226_7	TPHE IST 3
CD406_1	TPHE IST 1
CD406_7	TPHE IST 3
CF47A_1	TPHE IST 2
CF47A_19	TPHE IST 7
CF47A_7	TPHE IST 2
CD93C_1	TPHE IST 6
CD93C_19	TPHE IST 7
CD93C_7	TPHE IST 2
