"","V1","V2","V3","V4","V5","V6","V7"
"N2158_19",0.999999999941,1.57915631493294e-57,9.46022132888164e-46,1.98991042338116e-40,1.83294439010883e-22,7.65872663956746e-30,5.8999525138357e-11
"N2158_7",3.95805802911393e-21,2.24735640862617e-08,1.89952206283069e-09,0.112834649987516,4.77031175488983e-10,0.887165325162366,2.02167725521438e-20
"N724D_19",0.999999932735679,4.37251409016362e-67,1.19272097797792e-40,1.70778363248424e-41,2.40817422307855e-22,6.31088015292164e-43,6.7264320616977e-08
"N724D_7",2.00690269179609e-22,1.29925476766338e-21,0.0135125243203643,0.986487475679491,1.44701976602637e-13,6.3582536961968e-22,8.04237992599839e-19
"N52A3_19",0.00335394716705572,5.01839612619636e-60,4.29236500512922e-26,8.77887658244331e-32,5.0293824975146e-14,8.4213467841856e-40,0.996646052832894
"N52A3_7",1.22361657758151e-29,1.33950823735568e-27,0.999999999999403,4.06925385933064e-14,2.87750708067018e-13,2.92248353160106e-28,2.68840196334069e-13
"N174C_19",0.999999997559029,8.67137631476261e-29,1.41119441284465e-31,9.68846906525481e-20,2.57211019666273e-15,2.43930587109398e-09,1.66279101405445e-12
"N174C_7",2.16771002448673e-34,1.23857113322301e-19,0.956091450833072,0.0439085491669282,7.5615573531069e-17,8.77273179277648e-25,3.09591119300367e-23
"N5436_1",6.65021044314668e-34,2.18165736402302e-11,0.999999999977478,7.05425894512198e-13,1.07917605838425e-18,3.43594185680162e-23,9.04363574724234e-19
"N5436_7",3.92142152711701e-25,5.85816807577364e-08,5.5733363462621e-08,0.999882192418575,7.10908617968849e-13,0.000117693265669719,6.97555866699566e-20
"NB0D2_1",1.318182907571e-35,3.04851924435798e-25,0.999988046642013,1.19128463268026e-05,4.05116601657563e-08,1.93086649837211e-25,6.02797383894482e-18
"NB0D2_7",2.25764226360093e-36,1.48820568580032e-36,1.76193878880662e-09,1.13534839353007e-10,0.999999998124526,3.47394529300894e-24,1.85548185082385e-17
"CBFE6_1",1.00213791591438e-49,1.50950254482562e-81,6.00791299723818e-35,5.88748413328019e-37,1,1.995643233872e-50,1.21649239059311e-20
"CBFE6_19",1.09213287101648e-32,6.34109289151897e-165,4.15401968526527e-67,2.2647300160505e-75,1.17096301185732e-08,1.55913162807622e-109,0.99999998829037
"CBFE6_7",4.02849764063379e-52,3.80203983679868e-97,2.98104684413098e-39,2.38283396254656e-40,1,7.93544491715743e-63,1.25884614404894e-18
"C4FB5_1",7.39212518033505e-42,3.69424710597379e-58,4.40108549231174e-25,3.06144209340903e-20,1,8.60584940145016e-35,1.59391999202544e-23
"C4FB5_7",3.47962849824376e-192,0,3.55188874879051e-191,4.10023368472731e-263,3.8560105795281e-26,1.48219693752374e-323,1
"CF2AC_1",1.12668247580157e-45,1.70788876438509e-21,1.47503775924465e-10,7.13079573994701e-17,0.99999999974246,1.10035770952167e-10,3.40329690454424e-18
"CF2AC_19",1.95075099277034e-24,3.8466817671516e-123,4.17317040543952e-53,4.91761187672215e-64,2.77945628180872e-09,2.01693877182114e-78,0.999999997220544
"CF2AC_7",3.54915869442877e-41,4.08852968324487e-50,1.12507877439381e-15,1.01582497487764e-13,0.999999999999897,6.33933248623837e-33,6.83128252229748e-22
"C09B7_1",3.7161470885385e-50,9.50301358251081e-23,1.08220296116947e-07,4.26672850387473e-14,0.999999891779661,3.92787199887095e-17,4.69085569761278e-23
"C09B7_19",3.87157548464381e-21,4.48850608547619e-40,2.08299467072892e-21,5.31778528804437e-15,0.999999999999995,2.80411458399755e-19,6.21224318128568e-19
"C09B7_7",1.92389794881042e-62,4.00559981855102e-74,1.02560058180843e-28,7.75111272906221e-19,1,6.4886507724371e-42,5.11333636162725e-25
"C266E_1",4.85373238946634e-34,0.000284240654814401,8.32463842332954e-20,4.21948690078415e-17,3.07746386282982e-18,0.999715759345186,2.46172995565962e-27
"C266E_7",2.29755993952654e-37,1.20914983528854e-10,3.90903228924939e-24,4.70221638768679e-13,4.78984569023474e-20,0.999999999878615,4.20831727790658e-31
"CE001_1",2.56288271281948e-27,1.10013988956801e-07,0.000956190234010601,0.997838539772597,9.12188890573429e-05,0.00111394109034578,1.55357687818961e-19
"CE001_19",0.999999982807135,3.97472864188047e-45,4.8428620922941e-27,1.13756249909602e-21,1.30930617234878e-14,1.75018757526835e-25,1.7192852089715e-08
