IST,epoch,term,estimate,std.error,statistic,p.value,conf.low,conf.high,n_obs,termwise_fdr
TPHE_6,ever,cmv_pcrTRUE,3.09802523889711,0.8140860571203634,3.8055254868946413,1.4150344140951513e-4,1.5024165669411977,4.693633910853022,122,0.00523562733215206
TPHE_5,ever,preg_antibioticsYes,2.0608158775065335,0.6745332335381979,3.0551732294889695,0.002249305631346849,0.7387307397716656,3.3829010152414014,122,0.08322430835983341
TPHE_2,ever,preg_antibioticsYes,-1.7292251168205928,0.5824939529900088,-2.9686576280221972,0.002991036503849802,-2.8709132646810103,-0.5875369689601755,122,0.10767731413859287
TPHE_5,late,preg_antibioticsYes,2.043034347346903,0.6889952515460849,2.965237195412297,0.003024496356615042,0.6926036543165766,3.393465040377229,121,0.10767731413859287
TPHE_2,late,preg_antibioticsYes,-1.7232989362000877,0.5817742309485783,-2.962143808587504,0.0030550505788775927,-2.863576428859301,-0.5830214435408743,121,0.10767731413859287
TPHE_7,ever,mode_deliveryVaginal Vertex,1.3390444278966012,0.5138149988414838,2.606082794227086,0.009158432074589926,0.3319670301672928,2.3461218256259095,122,0.33886198675982726
TPHE_6,early,mode_deliveryVaginal Vertex,-3.4145555456529637,1.3205772930965183,-2.585653686083334,0.009719453168798298,-6.00288704012214,-0.8262240511837877,91,0.3499003140767387
TPHE_5,ever,cchorioYes,2.931465773082136,1.2095610190605386,2.423578246064009,0.015368442110735469,0.56072617572348,5.302205370440792,122,0.5686323580972124
TPHE_7,ever,preg_antibioticsYes,-1.2358440478499266,0.5237604953946896,-2.3595594908673534,0.018296646942496927,-2.2624146188235184,-0.20927347687633513,122,0.6037893491023986
TPHE_7,early,cmv_pcrTRUE,-2.704326074816635,1.2052253409566909,-2.243834395873206,0.024843058446665182,-5.066567743091749,-0.34208440654152117,91,0.8943501040799465
ICS_7,ever,mode_deliveryVaginal Breech,3.317982335686499,1.482936895577911,2.2374400054248147,0.025257596326403686,0.4114260203537934,6.224538651019204,123,0.9345310640769363
TPHE_4,ever,mode_deliveryVaginal Vertex,1.608057213351575,0.7321065849659356,2.196479647053573,0.028057630376339047,0.17312830681834113,3.0429861198848087,122,0.9820170631718667
TPHE_4,late,mode_deliveryVaginal Vertex,1.5954398892884707,0.7317513834101768,2.1803032087937453,0.029234993378200225,0.16120717780452432,3.0296726007724173,121,0.9939897748588077
ICS_4,ever,GenderMale,-1.1740045936204158,0.5420236634857495,-2.165965570710331,0.03031381796909629,-2.236370974052485,-0.11163821318834688,123,1
ICS_1,ever,preg_membrane_18hrYes,2.2477983793882026,1.040151983007509,2.16102878820544,0.03069311569209699,0.20910049269348496,4.286496266082921,123,1
TPHE_4,ever,GenderMale,-1.3946244389514062,0.6516172337616462,-2.140251004259877,0.03233448725525589,-2.6717942171242326,-0.1174546607785798,122,1
TPHE_4,late,GenderMale,-1.3812272782592958,0.652912700892481,-2.1154853878187163,0.03438859902547826,-2.6609361720085585,-0.10151838451003314,121,1
TPHE_5,late,cmv_pcrTRUE,1.586211045350417,0.7502503850327835,2.114242227654578,0.03449458389509206,0.11572029068616141,3.0567018000146726,121,1
TPHE_6,early,cmv_pcrTRUE,3.5188182416064833,1.6874482243599676,2.0852896052210053,0.03704302040907612,0.21141972186094682,6.82621676135202,91,1
ICS_1,late,preg_membrane_18hrYes,2.151342665940186,1.0378844189228014,2.072815264124516,0.0381894753237371,0.11708920485149577,4.185596127028877,121,1
TPHE_5,ever,cmv_pcrTRUE,1.4420516324816082,0.7227151815413604,1.995324948627886,0.04600745056601889,0.02552987666054185,2.8585733883026743,122,1
ICS_7,early,cchorioYes,2.6626576054533695,1.3573588432124497,1.9616460442779304,0.04980370763885563,0.002234272756968192,5.32308093814977,89,1
TPHE_2,ever,cmv_pcrTRUE,-2.2712129460431623,1.1599699735708182,-1.9579928772220936,0.05023084849153739,-4.544754094241966,0.0023282021556414456,122,1
