SampleID	PC1
A160QPCG.04	0.08251101
A160S1LX.04	0.298778981
A160S33D.04	0.219967059
A160TQ8N.04	-0.099439159
A160VLC8.04	-0.039568433
B160QV60.04	0.382820566
B160RSF5.04	-0.233642594
B160S7MS.04	0.305661359
B160TQVM.04	-0.053990401
C160R9FX.04	0.0665375
C160RQ3K.04	0.352159733
C160S1VK.04	-0.299207138
C160S3Q0.04	0.120355643
C160S80Q.04	-0.267254983
C160SBHW.04	-0.054009978
C160SFGR.04	0.047123541
C160SKPS.04	0.358231776
C160VLVQ.04	0.13315789
D160QKG5.04	0.30345193
D160R1K5.04	0.217889058
D160RFP3.04	0.38745457
D160RSD8.04	-0.299731042
D160S7QH.04	0.024448688
D160T6B7.04	0.256230484
D160TQ47.04	-0.261039784
E160RJV2.04	0.243788238
E160RMDN.04	0.090599881
E160S6VD.04	0.179713717
E160S87C.04	0.183572687
E160SFZH.04	-0.298211318
E160TGY4.04	-0.208405639
E160VM8V.04	-0.329626011
E160WN13.04	-0.25647566
E160X7Y1.04	-0.222706468
F160QX3X.04	-0.191261613
F160R510.04	-0.106770422
F160S7J3.04	-0.045757824
F160SBC7.04	-0.20994099
F160T6WJ.04	-0.229594547
F160THHD.04	0.177231982
F160TQTQ.04	0.254585479
G160R5WQ.04	-0.185994027
G160R7S4.04	0.297247385
G160RCMD.04	0.326525181
G160SB00.04	0.265707426
G160SBLL.04	0.316693123
G160SCZ8.04	0.381562281
G160T69B.04	0.177556505
G160TPYP.04	0.057354776
G160TQSP.04	-0.010555586
H160SR90.04	0.173841994
H160THVY.04	-0.034125492
H160TJZ3.04	-0.283622762
H160TQRS.04	-0.239315607
H160TRN4.04	-0.033666369
H160VK34.04	-0.212543101
H160WX62.04	0.255675068
J160QKF8.04	0.123343907
J160RF9C.04	0.104940957
J160S0PT.04	0.18308568
J160S10G.04	-0.305744409
J160S4C8.04	0.393371827
J160S903.04	-0.196087704
J160SF8F.04	0.209430515
J160T6PN.04	-0.333455011
K160R365.04	0.268713501
K160R6P6.04	-0.177121623
K160RT0S.04	-0.261774128
K160X7TC.04	-0.33646556
K160X7V8.04	-0.31968244
A160RRV4.04	0.14804853
A160SCKJ.04	-0.109852839
A160T09Y.04	-0.135001033
A160T870.04	0.356732503
A160TRBB.04	-0.333577533
B160RXS3.04	0.170076146
B160S1L0.04	-0.12414971
B160S1RY.04	-0.09182922
B160S5X9.04	0.119688566
B160SGBJ.04	-0.271184059
B160SHM7.04	0.328195194
B160SRK1.04	0.036778994
B160T2VQ.04	0.192059655
B160T66Z.04	-0.261633383
C160RMHN.04	0.325639471
C160S7RD.04	0.308270841
C160SG19.04	-0.159002219
C160SH9B.04	-0.225254331
C160SQS1.04	-0.347914285
C160ST5W.04	0.340099842
D160RJ7N.04	0.324933434
D160RR2M.04	-0.347730757
D160RXQ9.04	0.350312781
D160RZGG.04	-0.114545493
D160S202.04	0.038490514
D160S92T.04	0.344866426
D160SBS0.04	-0.230996133
D160SDJN.04	-0.289193748
D160SJD0.04	0.322781974
D160SKSM.04	0.169036086
D160SR33.04	0.144644509
D160T18W.04	0.362513063
D160T58P.04	0.222644912
E160RPQ1.04	0.090969113
E160RST4.04	-0.098651702
E160RZK5.04	-0.051112716
E160S6B4.04	0.284706927
E160S7KZ.04	0.216285118
E160S94M.04	-0.263894214
E160SBP9.04	0.3498922
E160SYCX.04	0.283555007
E160SYK0.04	-0.211180446
E160TRC7.04	-0.304882209
F160RZHC.04	0.391269712
F160S49G.04	0.122355412
F160S4JB.04	0.337266124
F160S51B.04	-0.331121471
F160S93Q.04	-0.29904419
F160SDG2.04	0.093880296
F160SFWC.04	-0.241809453
F160SHKF.04	-0.086852538
F160SR4X.04	-0.270025475
F160STTT.04	0.233841808
F160T6YB.04	-0.373855575
F160THV1.04	-0.198397899
F160TK00.04	-0.229647601
G160RPYN.04	0.311850898
G160RRF7.04	0.020973259
G160RVVC.04	0.258182959
G160S6CY.04	0.390512617
G160SLQQ.04	-0.154533776
G160SWN7.04	-0.143815262
H160RVW8.04	0.319808657
H160RX6D.04	-0.259010151
H160RZ7Z.04	-0.345052687
H160SHB7.04	-0.238843092
H160SXHJ.04	0.363543104
H160SZ7Y.04	-0.138655987
J160RJ8K.04	0.32595376
J160RRSB.04	0.316804988
J160RXWD.04	-0.008960535
J160S1PM.04	0.257683754
J160S9S8.04	-0.249333185
