term,estimate,std.error,statistic,p.value,response,voi,produced_warning
(Intercept),-2.9533957129177386,0.24739027021131604,-11.938204806498673,2.7766749258895046e-19,NAS_1,TPHE_IST_Birth,TRUE
MODVaginal,-0.15799225077629056,0.20963042460965015,-0.7536704229383006,0.4533162266379043,NAS_1,TPHE_IST_Birth,TRUE
gaBirth,-0.12892227100942863,0.026597591958948924,-4.847140718919554,6.2536885399764375e-6,NAS_1,TPHE_IST_Birth,TRUE
voiTPHE_2,0.0522741962468538,0.3389363318520099,0.15423013508530664,0.8778266458951519,NAS_1,TPHE_IST_Birth,TRUE
voiTPHE_3,0.5099793711787702,0.3236360089977044,1.5757806826198615,0.11912386000392772,NAS_1,TPHE_IST_Birth,TRUE
voiTPHE_4,-1.1573674493837087,0.9141104469934258,-1.2661133599231609,0.20924087859441792,NAS_1,TPHE_IST_Birth,TRUE
voiTPHE_5,-0.38149231968576436,0.5213849695806498,-0.7316902901757962,0.4665502899168332,NAS_1,TPHE_IST_Birth,TRUE
voiTPHE_6,-1.1961181436634416,1.585550239458093,-0.7543867825167426,0.4528885762691234,NAS_1,TPHE_IST_Birth,TRUE
anova,NA,NA,NA,0.19361892264235003,NAS_1,TPHE_IST_Birth,NA
(Intercept),-2.9250748368372026,0.24936203298245682,-11.730233355303886,1.1047065635742826e-19,NAS_1,TPHE_IST_Disch,TRUE
MODVaginal,-0.17363097851731057,0.19324036466738995,-0.8985233432785561,0.37135854732165596,NAS_1,TPHE_IST_Disch,TRUE
gaBirth,-0.1312537279534172,0.017862565676244717,-7.347977347283905,9.73663860425312e-11,NAS_1,TPHE_IST_Disch,TRUE
voiTPHE_2,0.009127607077424726,0.29666391569496137,0.030767500172855542,0.9755246328892034,NAS_1,TPHE_IST_Disch,TRUE
voiTPHE_3,0.002455003617211583,0.22819709067257732,0.010758259932130691,0.9914406682917702,NAS_1,TPHE_IST_Disch,TRUE
voiTPHE_4,0.009243277365353278,0.36740752145695504,0.025158105987321787,0.9799858150963516,NAS_1,TPHE_IST_Disch,TRUE
voiTPHE_5,-0.12184129454918649,0.29337162705808084,-0.4153138317123786,0.6789230745091732,NAS_1,TPHE_IST_Disch,TRUE
voiTPHE_6,-0.8698086662390182,1.6738406102859769,-0.519648442566112,0.6046132964107982,NAS_1,TPHE_IST_Disch,TRUE
anova,NA,NA,NA,0.9809517746456533,NAS_1,TPHE_IST_Disch,NA
(Intercept),-2.7190586504395737,0.4597990315382817,-5.913580638355894,7.636057538402563e-8,NAS_1,TPHE_IST_1YR,TRUE
MODVaginal,-0.1808344889488442,0.1900608557229383,-0.9514557232787385,0.34420358908030646,NAS_1,TPHE_IST_1YR,TRUE
gaBirth,-0.1449852845901513,0.018702505397083177,-7.75218514909575,2.3075370917696278e-11,NAS_1,TPHE_IST_1YR,TRUE
voiTPHE_6,-0.5168206099894361,0.45472569136533997,-1.1365546741765407,0.259075834161492,NAS_1,TPHE_IST_1YR,TRUE
voiTPHE_7,-0.3082322858831448,0.4196283089671167,-0.7345364440302781,0.46474304213734263,NAS_1,TPHE_IST_1YR,TRUE
