term,estimate,std.error,statistic,p.value,response,voi,produced_warning
(Intercept),-3.866008084316337,0.5169737410396379,-7.478151746241051,1.2498564176125466e-10,NAS_1,TPHE_IST_Birth,TRUE
MODVaginal,-0.005377437941794328,0.2360070010294199,-0.022785078062679983,0.9818830397504379,NAS_1,TPHE_IST_Birth,TRUE
milk_perinatalTRUE,0.9126063038354074,0.4629072603022815,1.9714668187305366,0.05240939183349739,NAS_1,TPHE_IST_Birth,TRUE
milk_months,-0.04139905702700876,0.03213018314830502,-1.2884787128638793,0.2015933691565777,NAS_1,TPHE_IST_Birth,TRUE
abx_hospital,-0.12941324805722987,0.10360652826918913,-1.2490839160346157,0.21557118818912913,NAS_1,TPHE_IST_Birth,TRUE
abx_discharge,-0.01443377826688071,0.08899977616698619,-0.1621776917708116,0.8716079478366718,NAS_1,TPHE_IST_Birth,TRUE
gaBirth,-0.13660566324559514,0.034040635319955014,-4.013017441114424,1.4208398055318941e-4,NAS_1,TPHE_IST_Birth,TRUE
voiTPHE_2,0.12302311587538428,0.3394579617328898,0.36241045944943195,0.7180783128361912,NAS_1,TPHE_IST_Birth,TRUE
voiTPHE_3,0.4368542702360751,0.32200605029035984,1.356664788882551,0.17901217902601754,NAS_1,TPHE_IST_Birth,TRUE
voiTPHE_4,-1.343691696202346,0.9100298784931364,-1.4765358016895929,0.14404313152096995,NAS_1,TPHE_IST_Birth,TRUE
voiTPHE_5,-0.17389966230784798,0.5325174533363456,-0.32656143234052926,0.7449214544087532,NAS_1,TPHE_IST_Birth,TRUE
voiTPHE_6,-0.9492242172388674,1.7050487532304885,-0.5567138273556165,0.5794027748985143,NAS_1,TPHE_IST_Birth,TRUE
anova,NA,NA,NA,0.21495727753948163,NAS_1,TPHE_IST_Birth,NA
(Intercept),-4.208475672840451,0.5220934831466587,-8.060770357591819,4.583815306177272e-12,NAS_1,TPHE_IST_Disch,TRUE
MODVaginal,0.06041970936290086,0.21077326049928702,0.2866573739941041,0.7750805400827859,NAS_1,TPHE_IST_Disch,TRUE
milk_perinatalTRUE,1.18887222948392,0.4511545143212927,2.635177509577698,0.010012368195139282,NAS_1,TPHE_IST_Disch,TRUE
milk_months,-0.022654872324710907,0.02753062358078804,-0.8228971733324767,0.41289648414460445,NAS_1,TPHE_IST_Disch,TRUE
