term,estimate,std.error,statistic,p.value,response,voi,produced_warning
(Intercept),-2.089168446194761,0.16565493386193678,-12.611567898943202,1.3015246376554712e-20,NAS_1,TPHE_IST_Birth,TRUE
MODVaginal,-0.19621653915147574,0.24197286681673622,-0.8109030641856424,0.4198576235429283,NAS_1,TPHE_IST_Birth,TRUE
voiTPHE_2,-0.8246995404541754,0.3180980589139345,-2.592595325070212,0.01134515754383514,NAS_1,TPHE_IST_Birth,TRUE
voiTPHE_3,-0.028630754229629657,0.3475382585806558,-0.08238158971779823,0.9345516503752452,NAS_1,TPHE_IST_Birth,TRUE
voiTPHE_4,-2.1926993965190547,0.9561603165024788,-2.293234051523587,0.024493635661515942,NAS_1,TPHE_IST_Birth,TRUE
voiTPHE_5,-1.317539771723724,0.5336194936493319,-2.4690622951446097,0.015704406896685123,NAS_1,TPHE_IST_Birth,TRUE
voiTPHE_6,-1.8383310013403773,1.4984767165366877,-1.2267998435031866,0.22354154606032337,NAS_1,TPHE_IST_Birth,TRUE
anova,NA,NA,NA,1.6679838045380622e-4,NAS_1,TPHE_IST_Birth,NA
(Intercept),-1.8662986333473983,0.22550360205838382,-8.276136683901864,1.1759373860785802e-12,NAS_1,TPHE_IST_Disch,TRUE
MODVaginal,-0.3058330319516519,0.2236579303647366,-1.367414209068759,0.17493895888825514,NAS_1,TPHE_IST_Disch,TRUE
voiTPHE_2,-0.5420368231570026,0.3432672128398013,-1.5790521287273795,0.11787188128760341,NAS_1,TPHE_IST_Disch,TRUE
voiTPHE_3,-0.19791011404497677,0.2699045430115831,-0.7332596622372649,0.46532712383446684,NAS_1,TPHE_IST_Disch,TRUE
voiTPHE_4,-0.6257214007187824,0.41744538956494603,-1.4989299591280616,0.1374306119422875,NAS_1,TPHE_IST_Disch,TRUE
voiTPHE_5,-0.43094406672202407,0.3449456730463085,-1.2493099650047512,0.21482742282262807,NAS_1,TPHE_IST_Disch,TRUE
voiTPHE_6,-1.265240996148974,1.5562126122530577,-0.8130257949247564,0.41837289363147767,NAS_1,TPHE_IST_Disch,TRUE
anova,NA,NA,NA,0.39561874513265816,NAS_1,TPHE_IST_Disch,NA
(Intercept),-1.8711690786801864,0.49826431235702606,-3.7553744714901836,3.224419588450906e-4,NAS_1,TPHE_IST_1YR,TRUE
MODVaginal,-0.3162170610865348,0.22824499014446084,-1.3854282667338926,0.16967858981662404,NAS_1,TPHE_IST_1YR,TRUE
voiTPHE_6,-0.36240383383921115,0.5365924541170426,-0.6753800413305159,0.5013344683673581,NAS_1,TPHE_IST_1YR,TRUE
voiTPHE_7,-0.39098841505559767,0.49466792907769824,-0.7904058299970859,0.43157077100519714,NAS_1,TPHE_IST_1YR,TRUE
anova,NA,NA,NA,0.7220649539764405,NAS_1,TPHE_IST_1YR,NA
(Intercept),-2.406589125644721,0.15735464043198702,-15.294046105268277,7.215455371347572e-26,NAS_1,Birth_TPHE_C1,TRUE
MODVaginal,-0.4639624872085341,0.24831897023243468,-1.86841338289318,0.06523267806093394,NAS_1,Birth_TPHE_C1,TRUE
voi,-0.30987905582866093,0.19127522187021345,-1.6200689916800834,0.10901094026167807,NAS_1,Birth_TPHE_C1,TRUE
anova,NA,NA,NA,0.05413128932362226,NAS_1,Birth_TPHE_C1,NA
(Intercept),-2.395137624329421,0.15161469003438077,-15.797530066422256,9.678007562431894e-27,NAS_1,Birth_TPHE_C2,TRUE
MODVaginal,-0.4310622405527957,0.2437563748076726,-1.768414224624526,0.08066593677578969,NAS_1,Birth_TPHE_C2,TRUE
voi,0.1473757320654883,0.11873126962841685,1.2412545787366511,0.2180083495930373,NAS_1,Birth_TPHE_C2,TRUE
anova,NA,NA,NA,0.21310449703273954,NAS_1,Birth_TPHE_C2,NA
(Intercept),-2.4520952147060284,0.1588563093165909,-15.435932165710541,4.0829317407831446e-26,NAS_1,Birth_TPHE_C3,TRUE
MODVaginal,-0.322879226280746,0.2495623399971353,-1.2937818513981407,0.19932953295996655,NAS_1,Birth_TPHE_C3,TRUE
voi,0.18345362769728077,0.09975632524360657,1.8390174983820227,0.0694887045859962,NAS_1,Birth_TPHE_C3,TRUE
anova,NA,NA,NA,0.07599599910757282,NAS_1,Birth_TPHE_C3,NA
(Intercept),-2.4587307744262703,0.15858226497205305,-15.504449850426669,3.10421912812186e-26,NAS_1,Birth_TPHE_C4,TRUE
MODVaginal,-0.3813771723458522,0.24286485903700342,-1.5703266987989595,0.120143754911132,NAS_1,Birth_TPHE_C4,TRUE
voi,-0.32161561188042875,0.1717661609423848,-1.872403796626203,0.06467216544201859,NAS_1,Birth_TPHE_C4,TRUE
anova,NA,NA,NA,0.036028909066254916,NAS_1,Birth_TPHE_C4,NA
(Intercept),-2.3709582062865286,0.14610532403713228,-16.2277331227434,1.7840453301931365e-27,NAS_1,Birth_TPHE_C5,TRUE
MODVaginal,-0.603978174827679,0.2497520329804946,-2.418311345136675,0.01778056904965443,NAS_1,Birth_TPHE_C5,TRUE
voi,0.32133088315137964,0.10150660784431847,3.165615421256195,0.0021644690273719893,NAS_1,Birth_TPHE_C5,TRUE
anova,NA,NA,NA,0.00240702970447053,NAS_1,Birth_TPHE_C5,NA
(Intercept),-2.4820197952783722,0.1503106513149812,-16.512600893979318,5.898485475267924e-28,NAS_1,Birth_TPHE_C6,TRUE
MODVaginal,-0.4376505866781312,0.23247481290405791,-1.8825720567791107,0.06326215035890824,NAS_1,Birth_TPHE_C6,TRUE
voi,0.3570188195948669,0.08453167726313433,4.223491490456546,6.128782704454889e-5,NAS_1,Birth_TPHE_C6,TRUE
anova,NA,NA,NA,9.554339303031647e-5,NAS_1,Birth_TPHE_C6,NA
(Intercept),-2.5483518078354734,0.1722890969708244,-14.791137992133152,5.5429091119453505e-25,NAS_1,Birth_TPHE_C8,TRUE
MODVaginal,-0.3709894075519793,0.24217819146727954,-1.5318861095801986,0.12935338051164078,NAS_1,Birth_TPHE_C8,TRUE
voi,-0.5637121506934417,0.19810929790088594,-2.845460342681477,0.005584755818361366,NAS_1,Birth_TPHE_C8,TRUE
anova,NA,NA,NA,5.781505353985212e-4,NAS_1,Birth_TPHE_C8,NA
(Intercept),-2.424134986522361,0.15862449315396157,-15.282223686410685,7.566920695726416e-26,NAS_1,Birth_TPHE_C9,TRUE
MODVaginal,-0.46237749477831175,0.24560479142903857,-1.8826077947746565,0.06325724061284393,NAS_1,Birth_TPHE_C9,TRUE
