term,estimate,std.error,statistic,p.value,response,voi,produced_warning
(Intercept),-1.800378840671107,0.6257028499641811,-2.877370369615819,0.004010046306643246,NAS_1,TPHE_IST_Birth,TRUE
MODVaginal,-0.653216392963333,0.6292634728472759,-1.0380650095701178,0.29923979022353087,NAS_1,TPHE_IST_Birth,TRUE
gaBirth,-0.4777613285120922,0.11995442926532612,-3.982856918566435,6.809175337567988e-5,NAS_1,TPHE_IST_Birth,TRUE
voiTPHE_2,-0.7627465266582809,0.7406896010248576,-1.0297789054995563,0.30311380523915565,NAS_1,TPHE_IST_Birth,TRUE
voiTPHE_3,1.0272062302089917,1.0516001399168287,0.9768030558556542,0.32866666291034063,NAS_1,TPHE_IST_Birth,TRUE
voiTPHE_4,-0.6336900789128035,1.0449249309454267,-0.606445554265275,0.5442189262629024,NAS_1,TPHE_IST_Birth,TRUE
voiTPHE_5,-0.6512616347123785,0.8485164007307742,-0.7675298133913352,0.44276657438256506,NAS_1,TPHE_IST_Birth,TRUE
voiTPHE_6,-0.8339128455558428,1.7008694087064307,-0.4902862273183348,0.6239313715082451,NAS_1,TPHE_IST_Birth,TRUE
anova,NA,NA,NA,0.5236047288986261,NAS_1,TPHE_IST_Birth,NA
(Intercept),-1.6023474542971337,0.8466983691456571,-1.892465502105488,0.05842898585710833,NAS_1,TPHE_IST_Disch,TRUE
MODVaginal,-0.6139955533923773,0.6684598938513426,-0.9185226504088853,0.3583453062576555,NAS_1,TPHE_IST_Disch,TRUE
gaBirth,-0.46849061628949834,0.10716999375162177,-4.371471900756818,1.2341173488451052e-5,NAS_1,TPHE_IST_Disch,TRUE
voiTPHE_2,-1.0617992536396559,0.9817013343448535,-1.0815909243397905,0.27943433901513204,NAS_1,TPHE_IST_Disch,TRUE
voiTPHE_3,0.2094567347198392,0.9125263907832847,0.22953498861555988,0.8184531294575108,NAS_1,TPHE_IST_Disch,TRUE
voiTPHE_4,-1.0078687639622301,1.0403671293221235,-0.9687625988519375,0.3326636514438596,NAS_1,TPHE_IST_Disch,TRUE
voiTPHE_5,-1.3599279957961024,1.0308438286686923,-1.319237655574282,0.18708967311627567,NAS_1,TPHE_IST_Disch,TRUE
voiTPHE_6,-0.9338435156166385,1.7380094662547605,-0.5373063459941788,0.5910560226567358,NAS_1,TPHE_IST_Disch,TRUE
anova,NA,NA,NA,0.31175669019471297,NAS_1,TPHE_IST_Disch,NA
(Intercept),-1.7491929218948084,1.1547883952263727,-1.5147302563184442,0.12984072890603138,NAS_1,TPHE_IST_1YR,TRUE
MODVaginal,-0.7619081439674478,0.6683331716435257,-1.1400124612905387,0.25428110959468536,NAS_1,TPHE_IST_1YR,TRUE
gaBirth,-0.5208549805366144,0.11289399046378863,-4.613664362441697,3.956311276172614e-6,NAS_1,TPHE_IST_1YR,TRUE
voiTPHE_6,-0.8291027324770771,1.2464302549013817,-0.6651818095852272,0.5059342137123521,NAS_1,TPHE_IST_1YR,TRUE
voiTPHE_7,-0.4058633695391713,1.1547412595098334,-0.351475593512137,0.7252315795222424,NAS_1,TPHE_IST_1YR,TRUE
anova,NA,NA,NA,0.7133091425551402,NAS_1,TPHE_IST_1YR,NA
(Intercept),-2.029818320763765,0.45043442250578636,-4.506357017458384,6.595008910537522e-6,NAS_1,Birth_TPHE_C1,TRUE
MODVaginal,-0.8534120679379658,0.6190450733511643,-1.3785943942951835,0.16801984587966914,NAS_1,Birth_TPHE_C1,TRUE
gaBirth,-0.4934755061559615,0.11189204711759826,-4.410282221732166,1.0323598382071018e-5,NAS_1,Birth_TPHE_C1,TRUE
voi,-0.19826329646393573,0.2772704611081459,-0.7150537986323959,0.4745758009198824,NAS_1,Birth_TPHE_C1,TRUE
anova,NA,NA,NA,0.45189272352825516,NAS_1,Birth_TPHE_C1,NA
(Intercept),-2.1591674428724223,0.43851234065522254,-4.9238464752125495,8.485942148880638e-7,NAS_1,Birth_TPHE_C2,TRUE
MODVaginal,-0.652483744419364,0.6146944937521367,-1.061476474982815,0.288473418485741,NAS_1,Birth_TPHE_C2,TRUE
gaBirth,-0.543652232809289,0.12400222112384439,-4.384213668772341,1.1640547798523528e-5,NAS_1,Birth_TPHE_C2,TRUE
voi,-0.2770656733673247,0.3263293967554233,-0.8490368202254832,0.3958608042694571,NAS_1,Birth_TPHE_C2,TRUE
anova,NA,NA,NA,0.31271695142925604,NAS_1,Birth_TPHE_C2,NA
(Intercept),-2.1689327508899363,0.44229817674548483,-4.903779542681729,9.400999530016873e-7,NAS_1,Birth_TPHE_C3,TRUE
MODVaginal,-0.6264520371626209,0.6177098998960325,-1.0141524966137985,0.310509991612003,NAS_1,Birth_TPHE_C3,TRUE
gaBirth,-0.5126704004137409,0.111400089145033,-4.602064543649419,4.183235172463802e-6,NAS_1,Birth_TPHE_C3,TRUE
voi,0.28330891811751596,0.30357698895796165,0.9332358130633797,0.3506982276336986,NAS_1,Birth_TPHE_C3,TRUE
anova,NA,NA,NA,0.3262684505226667,NAS_1,Birth_TPHE_C3,NA
(Intercept),-2.1068585496867462,0.4342862552878849,-4.851312985464222,1.2264682297149738e-6,NAS_1,Birth_TPHE_C4,TRUE
MODVaginal,-0.7402155862393257,0.6021781722934345,-1.2292301851795238,0.21898551454457274,NAS_1,Birth_TPHE_C4,TRUE
gaBirth,-0.5020875937193342,0.11146434044664051,-4.504468350213675,6.653931336619244e-6,NAS_1,Birth_TPHE_C4,TRUE
voi,-0.07068782808062732,0.27859461199199936,-0.25373006166629425,0.7997041080236058,NAS_1,Birth_TPHE_C4,TRUE
