term,estimate,std.error,statistic,p.value,response,voi,produced_warning
(Intercept),-2.683750906279545,1.0559382249941238,-2.5415794624675887,0.01103528587907316,NAS_1,TPHE_IST_Birth,TRUE
MODVaginal,-0.470193909049914,0.6549177150070803,-0.7179434885874644,0.4727921318120522,NAS_1,TPHE_IST_Birth,TRUE
milk_perinatalTRUE,1.0910780491423415,0.9238432577146479,1.1810207413770488,0.23759448374776057,NAS_1,TPHE_IST_Birth,TRUE
milk_months,-0.04405722033457523,0.08760139722632332,-0.5029282834467906,0.6150146949745702,NAS_1,TPHE_IST_Birth,TRUE
abx_hospital,0.02434896273374497,1.0079998241564083,0.024155721211680303,0.9807283971681025,NAS_1,TPHE_IST_Birth,TRUE
abx_discharge,0.2600773918507305,0.2878931631816639,0.9033816189883559,0.3663233919717609,NAS_1,TPHE_IST_Birth,TRUE
gaBirth,-0.5055711361302645,0.14098201283329032,-3.586068364111788,3.357009873553703e-4,NAS_1,TPHE_IST_Birth,TRUE
voiTPHE_2,-0.6933088892287363,0.7716431741533444,-0.8984837972414422,0.3689276795404166,NAS_1,TPHE_IST_Birth,TRUE
voiTPHE_3,0.949114412363266,1.0801706483156046,0.8786708043245713,0.3795797930710476,NAS_1,TPHE_IST_Birth,TRUE
voiTPHE_4,-0.7973383835323835,1.0840940067845755,-0.735488231225713,0.46204220480169,NAS_1,TPHE_IST_Birth,TRUE
voiTPHE_5,-0.6687931558153946,0.8926936320362994,-0.7491855344479478,0.45374538668040726,NAS_1,TPHE_IST_Birth,TRUE
voiTPHE_6,-0.5731311430578407,1.8279620047275358,-0.3135355885820329,0.7538737869205149,NAS_1,TPHE_IST_Birth,TRUE
anova,NA,NA,NA,0.6045238042125606,NAS_1,TPHE_IST_Birth,NA
(Intercept),-2.948498510724738,1.3055827750413345,-2.2583773063576067,0.023922146324396893,NAS_1,TPHE_IST_Disch,TRUE
MODVaginal,-0.3576658345704146,0.703999244324452,-0.5080486058101182,0.6114192565097647,NAS_1,TPHE_IST_Disch,TRUE
milk_perinatalTRUE,1.4950795127589194,0.9634433540609495,1.5518084238757823,0.12070806972731736,NAS_1,TPHE_IST_Disch,TRUE
milk_months,-0.060217267620693606,0.08606959891196435,-0.6996345792465746,0.4841555417659329,NAS_1,TPHE_IST_Disch,TRUE
abx_hospital,0.13576336675569137,0.9570534223534949,0.14185557836660256,0.8871940827172109,NAS_1,TPHE_IST_Disch,TRUE
abx_discharge,0.2874830303803215,0.2870722918276778,1.0014307843854546,0.31661858734289344,NAS_1,TPHE_IST_Disch,TRUE
gaBirth,-0.47460414067170237,0.12626336366805402,-3.7588428415342645,1.707010139283543e-4,NAS_1,TPHE_IST_Disch,TRUE
voiTPHE_2,-0.48312643486895324,1.0432039506203623,-0.4631179114895533,0.643279851928808,NAS_1,TPHE_IST_Disch,TRUE
voiTPHE_3,0.33881163922516316,0.9421378966973816,0.35962000935622146,0.719131318057779,NAS_1,TPHE_IST_Disch,TRUE
voiTPHE_4,-1.1492706401095205,1.0707872411204098,-1.0732950449680276,0.28313875770046976,NAS_1,TPHE_IST_Disch,TRUE
voiTPHE_5,-1.2955359170395733,1.0424448067771288,-1.2427861011125498,0.21394666558383574,NAS_1,TPHE_IST_Disch,TRUE
voiTPHE_6,-1.1791891378369388,1.7542990243373517,-0.6721711187648592,0.501474765065081,NAS_1,TPHE_IST_Disch,TRUE
anova,NA,NA,NA,0.31567063133066015,NAS_1,TPHE_IST_Disch,NA
(Intercept),-2.3855389012167767,1.4778082452709493,-1.614241163459877,0.10647512656856772,NAS_1,TPHE_IST_1YR,TRUE
MODVaginal,-0.6074080991038749,0.7103527643282643,-0.8550795176791666,0.3925071278612086,NAS_1,TPHE_IST_1YR,TRUE
milk_perinatalTRUE,0.9442594468430656,0.9030279081600493,1.0456592075509903,0.29571840282842854,NAS_1,TPHE_IST_1YR,TRUE
milk_months,-0.05320531015078401,0.08560886627622422,-0.6214929885779891,0.5342753063042534,NAS_1,TPHE_IST_1YR,TRUE
abx_hospital,0.06111411190022338,0.9849171680813218,0.06205000164559764,0.9505230131292661,NAS_1,TPHE_IST_1YR,TRUE
abx_discharge,0.20911483796929828,0.2680411328422044,0.7801595066843865,0.43529699377312303,NAS_1,TPHE_IST_1YR,TRUE
gaBirth,-0.5288283022527416,0.13079462660830912,-4.043195932172539,5.272752276258416e-5,NAS_1,TPHE_IST_1YR,TRUE
voiTPHE_6,-0.9718526955828175,1.2917073639602212,-0.752378381279203,0.4518235436634164,NAS_1,TPHE_IST_1YR,TRUE
voiTPHE_7,-0.5004096742270616,1.1958394437753475,-0.41845891338659463,0.6756116205011227,NAS_1,TPHE_IST_1YR,TRUE
anova,NA,NA,NA,0.6360874299939985,NAS_1,TPHE_IST_1YR,NA
(Intercept),-2.931411776336254,0.9425407208764731,-3.1101168484374027,0.0018701334688257239,NAS_1,Birth_TPHE_C1,TRUE
MODVaginal,-0.6554957581418394,0.6477457012003885,-1.0119646597840612,0.3115549511007033,NAS_1,Birth_TPHE_C1,TRUE
milk_perinatalTRUE,1.1356335218753513,0.8690094310111093,1.3068138058686196,0.1912759551939295,NAS_1,Birth_TPHE_C1,TRUE
milk_months,-0.044830153790753356,0.08227943874458443,-0.5448524500746432,0.5858550017939028,NAS_1,Birth_TPHE_C1,TRUE
abx_hospital,0.07774269872426623,0.9746429147361059,0.07976531460787957,0.936423911325321,NAS_1,Birth_TPHE_C1,TRUE
abx_discharge,0.28640705485074347,0.2820370069316049,1.015494590467691,0.30987012387871526,NAS_1,Birth_TPHE_C1,TRUE
gaBirth,-0.519395092458191,0.13198878849326448,-3.9351455406736786,8.31462946537649e-5,NAS_1,Birth_TPHE_C1,TRUE
voi,-0.23371975035707926,0.30988827544676906,-0.7542064959383286,0.4507252376192866,NAS_1,Birth_TPHE_C1,TRUE
anova,NA,NA,NA,0.4198506024802383,NAS_1,Birth_TPHE_C1,NA
(Intercept),-2.9635532547859755,0.9514165308192841,-3.1148851830795916,0.001840165233969594,NAS_1,Birth_TPHE_C2,TRUE
MODVaginal,-0.5244020316548841,0.6428056021908287,-0.8158019000886144,0.41461344634149755,NAS_1,Birth_TPHE_C2,TRUE
milk_perinatalTRUE,1.0712138958221196,0.9201759005674802,1.16414035094974,0.24436713852648728,NAS_1,Birth_TPHE_C2,TRUE
milk_months,-0.05743473311964701,0.07951745017373513,-0.7222909310366429,0.47011562745225793,NAS_1,Birth_TPHE_C2,TRUE
abx_hospital,0.09789648673013943,0.9846557111459955,0.09942204734302736,0.920803178239042,NAS_1,Birth_TPHE_C2,TRUE
abx_discharge,0.24296309330276541,0.27379065683919696,0.8874046182133336,0.3748610979989346,NAS_1,Birth_TPHE_C2,TRUE
gaBirth,-0.5362299128754159,0.13692257285872747,-3.916300297896692,8.991823365286416e-5,NAS_1,Birth_TPHE_C2,TRUE
voi,-0.12246247040708275,0.33613397094172354,-0.3643263727970964,0.7156143085164046,NAS_1,Birth_TPHE_C2,TRUE
anova,NA,NA,NA,0.7060082452308252,NAS_1,Birth_TPHE_C2,NA
(Intercept),-3.0564972680541644,0.9445996483093246,-3.2357594813048927,0.0012131956231223042,NAS_1,Birth_TPHE_C3,TRUE
MODVaginal,-0.46872122149843387,0.6478104051059,-0.7235469171289557,0.4693439404698919,NAS_1,Birth_TPHE_C3,TRUE
milk_perinatalTRUE,1.1760998670818552,0.8748673239233077,1.3443179724757375,0.17884558624163943,NAS_1,Birth_TPHE_C3,TRUE
milk_months,-0.07504513365656164,0.08090283939762972,-0.9275957953431273,0.3536172795937718,NAS_1,Birth_TPHE_C3,TRUE
abx_hospital,0.08155935635563265,0.9774490967611194,0.08344102687893229,0.9335008675021421,NAS_1,Birth_TPHE_C3,TRUE
abx_discharge,0.22309905721866213,0.28007849825578535,0.7965590311574507,0.4257071789782609,NAS_1,Birth_TPHE_C3,TRUE
gaBirth,-0.525058461457325,0.13066468235161907,-4.018365575208694,5.860322632792397e-5,NAS_1,Birth_TPHE_C3,TRUE
voi,0.2599144146938669,0.318236401917121,0.8167337649875672,0.4140805910474099,NAS_1,Birth_TPHE_C3,TRUE
anova,NA,NA,NA,0.3898152396861047,NAS_1,Birth_TPHE_C3,NA
(Intercept),-3.0241276187703496,0.9440514215679728,-3.203350526974032,0.001358385340877017,NAS_1,Birth_TPHE_C4,TRUE
MODVaginal,-0.5588263059128828,0.637443984641165,-0.8766673141130381,0.3806673652851869,NAS_1,Birth_TPHE_C4,TRUE
milk_perinatalTRUE,1.1789258355353989,0.8831012862927833,1.3349837145911911,0.18188167658547322,NAS_1,Birth_TPHE_C4,TRUE
milk_months,-0.06160779085573355,0.07967848913825187,-0.7732048074962432,0.4394011814392922,NAS_1,Birth_TPHE_C4,TRUE
abx_hospital,0.09384090919132167,0.9778247726296148,0.09596904457529752,0.9235451579051492,NAS_1,Birth_TPHE_C4,TRUE
