term,estimate,std.error,statistic,p.value,response,voi,produced_warning
(Intercept),-0.9528905185134326,0.4857553552159547,-1.9616675519507167,0.04980120193494861,NAS_1,TPHE_IST_Birth,TRUE
MODVaginal,-0.6918565603519465,0.509906106523131,-1.3568312901162751,0.17483482285194987,NAS_1,TPHE_IST_Birth,TRUE
voiTPHE_2,-1.8986165164611066,0.5978383354356591,-3.1758025605325884,0.0014942261148233034,NAS_1,TPHE_IST_Birth,TRUE
voiTPHE_3,-0.1903336848044981,0.836022694681215,-0.2276656913925937,0.8199061463279415,NAS_1,TPHE_IST_Birth,TRUE
voiTPHE_4,-2.6214524527786316,0.9686910738318835,-2.706180043973013,0.006806213409458328,NAS_1,TPHE_IST_Birth,TRUE
voiTPHE_5,-2.0386787616064095,0.7534610396631571,-2.7057520618688162,0.006814990666402621,NAS_1,TPHE_IST_Birth,TRUE
voiTPHE_6,-2.3220457625856077,1.586775381972353,-1.4633739525876168,0.14336508202428916,NAS_1,TPHE_IST_Birth,TRUE
anova,NA,NA,NA,2.1556928057179156e-4,NAS_1,TPHE_IST_Birth,NA
(Intercept),-0.6596122491502243,0.7125144013118815,-0.9257528660975081,0.3545744271212949,NAS_1,TPHE_IST_Disch,TRUE
MODVaginal,-0.5349077011080983,0.48367126352346346,-1.1059323582951486,0.2687557978545885,NAS_1,TPHE_IST_Disch,TRUE
voiTPHE_2,-1.6895793359787399,0.8053487901615831,-2.097947319992555,0.03590979923628606,NAS_1,TPHE_IST_Disch,TRUE
voiTPHE_3,-0.5462485785929547,0.7606362910370854,-0.7181468791716145,0.4726667275777824,NAS_1,TPHE_IST_Disch,TRUE
voiTPHE_4,-1.944256512220798,0.859650048139944,-2.2616837123753513,0.02371695175457825,NAS_1,TPHE_IST_Disch,TRUE
voiTPHE_5,-2.1234908497346328,0.8239345183666494,-2.5772568115536614,0.009958793021978954,NAS_1,TPHE_IST_Disch,TRUE
voiTPHE_6,-1.8685413544014142,1.7020974756146072,-1.0977875128606873,0.272297285385832,NAS_1,TPHE_IST_Disch,TRUE
anova,NA,NA,NA,0.006278900051388297,NAS_1,TPHE_IST_Disch,NA
(Intercept),-1.7189443151663464,0.9477072996283753,-1.813792418651198,0.06970969014758256,NAS_1,TPHE_IST_1YR,TRUE
MODVaginal,-0.5698964519398366,0.4441943475726402,-1.2829889778069272,0.19949593767864468,NAS_1,TPHE_IST_1YR,TRUE
voiTPHE_6,-0.5205146400564824,0.9847402453776689,-0.5285806510902313,0.5970963855979992,NAS_1,TPHE_IST_1YR,TRUE
voiTPHE_7,-0.24745005713185494,0.9278265911341522,-0.26669860456292604,0.7897012284135391,NAS_1,TPHE_IST_1YR,TRUE
