estimate,std.error,statistic,p.value,term,response,voi,produced_warning
3.666,0.1085,33.79,0,log_alpha,NAS_1,TPHE_IST_Birth,FALSE
1.005,0.133,7.555,4.174e-14,log_beta,NAS_1,TPHE_IST_Birth,FALSE
-0.174,0.2177,-0.7995,0.424,MODVaginal,NAS_1,TPHE_IST_Birth,FALSE
-0.03001,0.02842,-1.056,0.2909,gaBirth,NAS_1,TPHE_IST_Birth,FALSE
0.4146,0.36,1.152,0.2494,voiTPHE_2,NAS_1,TPHE_IST_Birth,FALSE
0.09262,0.3365,0.2752,0.7831,voiTPHE_3,NAS_1,TPHE_IST_Birth,FALSE
-0.9941,1.689,-0.5884,0.5563,voiTPHE_4,NAS_1,TPHE_IST_Birth,FALSE
0.6727,0.4011,1.677,0.09352,voiTPHE_5,NAS_1,TPHE_IST_Birth,FALSE
NA,NA,NA,0.3709539408352158,anova,NAS_1,TPHE_IST_Birth,NA
3.823,0.08943,42.75,0,log_alpha,NAS_1,TPHE_IST_Disch,FALSE
1.007,0.117,8.611,0,log_beta,NAS_1,TPHE_IST_Disch,FALSE
-0.3821,0.194,-1.969,0.04897,MODVaginal,NAS_1,TPHE_IST_Disch,FALSE
-0.02057,0.01895,-1.085,0.2778,gaBirth,NAS_1,TPHE_IST_Disch,FALSE
-0.3667,0.3304,-1.11,0.267,voiTPHE_2,NAS_1,TPHE_IST_Disch,FALSE
-0.2284,0.2306,-0.9902,0.3221,voiTPHE_3,NAS_1,TPHE_IST_Disch,FALSE
0.3058,0.3824,0.7998,0.4238,voiTPHE_4,NAS_1,TPHE_IST_Disch,FALSE
0.1277,0.3409,0.3745,0.7081,voiTPHE_5,NAS_1,TPHE_IST_Disch,FALSE
NA,NA,NA,0.3764076092931844,anova,NAS_1,TPHE_IST_Disch,NA
3.716,0.1036,35.88,0,log_alpha,NAS_1,TPHE_IST_1YR,FALSE
0.9546,0.1272,7.505,6.151e-14,log_beta,NAS_1,TPHE_IST_1YR,FALSE
-0.2424,0.2123,-1.142,0.2535,MODVaginal,NAS_1,TPHE_IST_1YR,FALSE
-0.03577,0.02229,-1.604,0.1086,gaBirth,NAS_1,TPHE_IST_1YR,FALSE
0.06221,0.5536,0.1124,0.9105,voiTPHE_6,NAS_1,TPHE_IST_1YR,FALSE
-0.3282,0.5217,-0.6291,0.5293,voiTPHE_7,NAS_1,TPHE_IST_1YR,FALSE
NA,NA,NA,0.2814847914563846,anova,NAS_1,TPHE_IST_1YR,NA
3.686,0.1029,35.84,0,log_alpha,NAS_1,Birth_TPHE_C1,FALSE
0.9995,0.1337,7.476,7.683e-14,log_beta,NAS_1,Birth_TPHE_C1,FALSE
-0.1242,0.2159,-0.5753,0.5651,MODVaginal,NAS_1,Birth_TPHE_C1,FALSE
-0.01854,0.02332,-0.7953,0.4265,gaBirth,NAS_1,Birth_TPHE_C1,FALSE
0.1539,0.08781,1.753,0.07963,voi,NAS_1,Birth_TPHE_C1,FALSE
NA,NA,NA,0.09122710223340391,anova,NAS_1,Birth_TPHE_C1,NA
3.694,0.1067,34.63,0,log_alpha,NAS_1,Birth_TPHE_C2,FALSE
0.9612,0.1323,7.265,3.726e-13,log_beta,NAS_1,Birth_TPHE_C2,FALSE
-0.1444,0.2237,-0.6456,0.5185,MODVaginal,NAS_1,Birth_TPHE_C2,FALSE
-0.00989,0.02449,-0.4038,0.6864,gaBirth,NAS_1,Birth_TPHE_C2,FALSE
-0.02991,0.1137,-0.2631,0.7925,voi,NAS_1,Birth_TPHE_C2,FALSE
NA,NA,NA,0.7928466625235006,anova,NAS_1,Birth_TPHE_C2,NA
3.711,0.1012,36.65,0,log_alpha,NAS_1,Birth_TPHE_C3,FALSE
1.017,0.1333,7.629,2.376e-14,log_beta,NAS_1,Birth_TPHE_C3,FALSE
-0.117,0.2139,-0.5468,0.5845,MODVaginal,NAS_1,Birth_TPHE_C3,FALSE
-0.006567,0.02226,-0.295,0.768,gaBirth,NAS_1,Birth_TPHE_C3,FALSE
0.2149,0.09642,2.229,0.02583,voi,NAS_1,Birth_TPHE_C3,FALSE
NA,NA,NA,0.03229123531270095,anova,NAS_1,Birth_TPHE_C3,NA
3.687,0.1057,34.88,0,log_alpha,NAS_1,Birth_TPHE_C4,FALSE
0.9721,0.1329,7.313,2.611e-13,log_beta,NAS_1,Birth_TPHE_C4,FALSE
-0.1506,0.2206,-0.6827,0.4948,MODVaginal,NAS_1,Birth_TPHE_C4,FALSE
-0.01231,0.02337,-0.5266,0.5985,gaBirth,NAS_1,Birth_TPHE_C4,FALSE
0.0868,0.09429,0.9205,0.3573,voi,NAS_1,Birth_TPHE_C4,FALSE
NA,NA,NA,0.3626072470743307,anova,NAS_1,Birth_TPHE_C4,NA
3.69,0.1055,34.97,0,log_alpha,NAS_1,Birth_TPHE_C5,FALSE
0.9708,0.1325,7.326,2.371e-13,log_beta,NAS_1,Birth_TPHE_C5,FALSE
-0.06502,0.2331,-0.2789,0.7803,MODVaginal,NAS_1,Birth_TPHE_C5,FALSE
-0.01835,0.02555,-0.7181,0.4727,gaBirth,NAS_1,Birth_TPHE_C5,FALSE
-0.1164,0.1203,-0.967,0.3336,voi,NAS_1,Birth_TPHE_C5,FALSE
NA,NA,NA,0.3350227547183018,anova,NAS_1,Birth_TPHE_C5,NA
3.699,0.1062,34.82,0,log_alpha,NAS_1,Birth_TPHE_C6,FALSE
0.9653,0.1332,7.248,4.228e-13,log_beta,NAS_1,Birth_TPHE_C6,FALSE
-0.1561,0.2268,-0.6881,0.4914,MODVaginal,NAS_1,Birth_TPHE_C6,FALSE
-9.384e-4,0.03095,-0.03032,0.9758,gaBirth,NAS_1,Birth_TPHE_C6,FALSE
0.04472,0.1327,0.3369,0.7362,voi,NAS_1,Birth_TPHE_C6,FALSE
NA,NA,NA,0.7377061452173168,anova,NAS_1,Birth_TPHE_C6,NA
3.678,0.1062,34.63,0,log_alpha,NAS_1,Birth_TPHE_C8,FALSE
0.9789,0.1326,7.385,1.519e-13,log_beta,NAS_1,Birth_TPHE_C8,FALSE
-0.1705,0.2213,-0.7707,0.4409,MODVaginal,NAS_1,Birth_TPHE_C8,FALSE
-0.02216,0.02558,-0.8661,0.3865,gaBirth,NAS_1,Birth_TPHE_C8,FALSE
0.136,0.1031,1.318,0.1874,voi,NAS_1,Birth_TPHE_C8,FALSE
NA,NA,NA,0.18473720189205567,anova,NAS_1,Birth_TPHE_C8,NA
3.682,0.1028,35.81,0,log_alpha,NAS_1,Birth_TPHE_C9,FALSE
1.004,0.1335,7.522,5.396e-14,log_beta,NAS_1,Birth_TPHE_C9,FALSE
-0.1276,0.2145,-0.5951,0.5518,MODVaginal,NAS_1,Birth_TPHE_C9,FALSE
-0.02128,0.02367,-0.8993,0.3685,gaBirth,NAS_1,Birth_TPHE_C9,FALSE
0.173,0.0905,1.912,0.05587,voi,NAS_1,Birth_TPHE_C9,FALSE
NA,NA,NA,0.06195854975774984,anova,NAS_1,Birth_TPHE_C9,NA
3.688,0.1059,34.81,0,log_alpha,NAS_1,Birth_TPHE_C10,FALSE
0.9713,0.1328,7.315,2.567e-13,log_beta,NAS_1,Birth_TPHE_C10,FALSE
-0.1884,0.2273,-0.8287,0.4073,MODVaginal,NAS_1,Birth_TPHE_C10,FALSE
-0.01051,0.02329,-0.4511,0.6519,gaBirth,NAS_1,Birth_TPHE_C10,FALSE
0.08126,0.08962,0.9067,0.3646,voi,NAS_1,Birth_TPHE_C10,FALSE
NA,NA,NA,0.36690393261716314,anova,NAS_1,Birth_TPHE_C10,NA
3.703,0.1057,35.02,0,log_alpha,NAS_1,Birth_TPHE_C11,FALSE
0.9714,0.1338,7.262,3.819e-13,log_beta,NAS_1,Birth_TPHE_C11,FALSE
-0.1434,0.2198,-0.6525,0.5141,MODVaginal,NAS_1,Birth_TPHE_C11,FALSE
-2.265e-4,0.02645,-0.008563,0.9932,gaBirth,NAS_1,Birth_TPHE_C11,FALSE
0.06499,0.1126,0.577,0.564,voi,NAS_1,Birth_TPHE_C11,FALSE
NA,NA,NA,0.5700982142966664,anova,NAS_1,Birth_TPHE_C11,NA
3.708,0.104,35.65,0,log_alpha,NAS_1,Birth_TPHE_C12,FALSE
0.98740000000000006,0.133,7.423,1.148e-13,log_beta,NAS_1,Birth_TPHE_C12,FALSE
-0.2207,0.2248,-0.9817,0.3263,MODVaginal,NAS_1,Birth_TPHE_C12,FALSE
9.073e-4,0.02375,0.03821,0.9695,gaBirth,NAS_1,Birth_TPHE_C12,FALSE
0.1555,0.1094,1.421,0.1552,voi,NAS_1,Birth_TPHE_C12,FALSE
NA,NA,NA,0.1573591677516608,anova,NAS_1,Birth_TPHE_C12,NA
3.676,0.1041,35.32,0,log_alpha,NAS_1,Birth_TPHE_C13,FALSE
0.9941,0.1327,7.493,6.75e-14,log_beta,NAS_1,Birth_TPHE_C13,FALSE
-0.2268,0.2238,-1.013,0.3109,MODVaginal,NAS_1,Birth_TPHE_C13,FALSE
-0.008545,0.02264,-0.3774,0.7058,gaBirth,NAS_1,Birth_TPHE_C13,FALSE
-0.1753,0.1005,-1.745,0.08096,voi,NAS_1,Birth_TPHE_C13,FALSE
NA,NA,NA,0.09477934987638725,anova,NAS_1,Birth_TPHE_C13,NA
3.708,0.103,35.99,0,log_alpha,NAS_1,Birth_TPHE_C14,FALSE
0.9952,0.1337,7.445,9.659e-14,log_beta,NAS_1,Birth_TPHE_C14,FALSE
-0.1663,0.2163,-0.7685,0.4422,MODVaginal,NAS_1,Birth_TPHE_C14,FALSE
-0.003338,0.0226,-0.1477,0.8826,gaBirth,NAS_1,Birth_TPHE_C14,FALSE
0.1584,0.09453,1.676,0.09382,voi,NAS_1,Birth_TPHE_C14,FALSE
NA,NA,NA,0.12761020266610457,anova,NAS_1,Birth_TPHE_C14,NA
3.696,0.1057,34.97,0,log_alpha,NAS_1,Birth_TPHE_C15,FALSE
0.9686,0.1325,7.312,2.631e-13,log_beta,NAS_1,Birth_TPHE_C15,FALSE
-0.2051,0.2363,-0.8679,0.3855,MODVaginal,NAS_1,Birth_TPHE_C15,FALSE
0.001416,0.02596,0.05457,0.9565,gaBirth,NAS_1,Birth_TPHE_C15,FALSE
0.08935,0.1142,0.7822,0.4341,voi,NAS_1,Birth_TPHE_C15,FALSE
NA,NA,NA,0.4195036816393001,anova,NAS_1,Birth_TPHE_C15,NA
3.696,0.1064,34.72,0,log_alpha,NAS_1,Birth_TPHE_C17,FALSE
0.9613,0.1324,7.261,3.835e-13,log_beta,NAS_1,Birth_TPHE_C17,FALSE
-0.1528,0.2325,-0.6572,0.5111,MODVaginal,NAS_1,Birth_TPHE_C17,FALSE
-0.005858,0.02551,-0.2297,0.8184,gaBirth,NAS_1,Birth_TPHE_C17,FALSE
0.02053,0.1053,0.195,0.8454,voi,NAS_1,Birth_TPHE_C17,FALSE
NA,NA,NA,0.8452749853096893,anova,NAS_1,Birth_TPHE_C17,NA
3.696,0.1064,34.72,0,log_alpha,NAS_1,Birth_TPHE_C21,FALSE
0.9623,0.1323,7.274,3.479e-13,log_beta,NAS_1,Birth_TPHE_C21,FALSE
-0.1792,0.2385,-0.7514,0.4524,MODVaginal,NAS_1,Birth_TPHE_C21,FALSE
-0.003693,0.02504,-0.1475,0.8827,gaBirth,NAS_1,Birth_TPHE_C21,FALSE
0.0484,0.1061,0.4561,0.6483,voi,NAS_1,Birth_TPHE_C21,FALSE
NA,NA,NA,0.6418199447724164,anova,NAS_1,Birth_TPHE_C21,NA
3.697,0.1066,34.68,0,log_alpha,NAS_1,Birth_TPHE_C22,FALSE
0.9612,0.1323,7.263,3.775e-13,log_beta,NAS_1,Birth_TPHE_C22,FALSE
-0.1311,0.2253,-0.582,0.5605,MODVaginal,NAS_1,Birth_TPHE_C22,FALSE
-0.01297,0.0289,-0.4486,0.6537,gaBirth,NAS_1,Birth_TPHE_C22,FALSE
0.03935,0.1337,0.2944,0.7684,voi,NAS_1,Birth_TPHE_C22,FALSE
NA,NA,NA,0.7692617093444395,anova,NAS_1,Birth_TPHE_C22,NA
3.695,0.1068,34.59,0,log_alpha,NAS_1,Birth_TPHE_C24,FALSE
0.9601,0.1323,7.256,3.986e-13,log_beta,NAS_1,Birth_TPHE_C24,FALSE
-0.1573,0.2335,-0.6739,0.5004,MODVaginal,NAS_1,Birth_TPHE_C24,FALSE
-0.01138,0.02691,-0.4229,0.6724,gaBirth,NAS_1,Birth_TPHE_C24,FALSE
-0.02972,0.1165,-0.2552,0.7986,voi,NAS_1,Birth_TPHE_C24,FALSE
NA,NA,NA,0.7974326380725427,anova,NAS_1,Birth_TPHE_C24,NA
3.691,0.1045,35.31,0,log_alpha,NAS_1,Birth_TPHE_C25,FALSE
0.9784,0.1335,7.33,2.303e-13,log_beta,NAS_1,Birth_TPHE_C25,FALSE
-0.1504,0.2188,-0.6874,0.4919,MODVaginal,NAS_1,Birth_TPHE_C25,FALSE
-0.003109,0.02331,-0.1333,0.8939,gaBirth,NAS_1,Birth_TPHE_C25,FALSE
-0.1111,0.1082,-1.027,0.3044,voi,NAS_1,Birth_TPHE_C25,FALSE
NA,NA,NA,0.30812253642194853,anova,NAS_1,Birth_TPHE_C25,NA
3.697,0.1067,34.66,0,log_alpha,NAS_1,Birth_TPHE_C26,FALSE
0.9611,0.1325,7.255,4.008e-13,log_beta,NAS_1,Birth_TPHE_C26,FALSE
-0.1413,0.2232,-0.633,0.5268,MODVaginal,NAS_1,Birth_TPHE_C26,FALSE
-0.008912,0.0243,-0.3667,0.7138,gaBirth,NAS_1,Birth_TPHE_C26,FALSE
-0.01538,0.1118,-0.1376,0.8906,voi,NAS_1,Birth_TPHE_C26,FALSE
NA,NA,NA,0.8906795258011698,anova,NAS_1,Birth_TPHE_C26,NA
3.691,0.1056,34.97,0,log_alpha,NAS_1,Birth_TPHE_C27,FALSE
0.9733,0.1326,7.341,2.121e-13,log_beta,NAS_1,Birth_TPHE_C27,FALSE
-0.1961,0.2289,-0.8568,0.3916,MODVaginal,NAS_1,Birth_TPHE_C27,FALSE
-0.01798,0.02489,-0.7225,0.47,gaBirth,NAS_1,Birth_TPHE_C27,FALSE
-0.1097,0.1117,-0.9818,0.3262,voi,NAS_1,Birth_TPHE_C27,FALSE
NA,NA,NA,0.3307495261953237,anova,NAS_1,Birth_TPHE_C27,NA
3.813,0.09111,41.85,0,log_alpha,NAS_1,Discharge_TPHE_C1,FALSE
0.9889,0.1166,8.48,0,log_beta,NAS_1,Discharge_TPHE_C1,FALSE
-0.3163,0.1888,-1.676,0.09383,MODVaginal,NAS_1,Discharge_TPHE_C1,FALSE
-0.03053,0.01926,-1.585,0.1129,gaBirth,NAS_1,Discharge_TPHE_C1,FALSE
0.1506,0.08077,1.864,0.06226,voi,NAS_1,Discharge_TPHE_C1,FALSE
NA,NA,NA,0.07812458377127773,anova,NAS_1,Discharge_TPHE_C1,NA
3.82,0.09338,40.91,0,log_alpha,NAS_1,Discharge_TPHE_C2,FALSE
0.9676,0.116,8.344,0,log_beta,NAS_1,Discharge_TPHE_C2,FALSE
-0.3574,0.1944,-1.838,0.06601,MODVaginal,NAS_1,Discharge_TPHE_C2,FALSE
-0.01786,0.0204,-0.8754,0.3813,gaBirth,NAS_1,Discharge_TPHE_C2,FALSE
0.1095,0.09849,1.112,0.2662,voi,NAS_1,Discharge_TPHE_C2,FALSE
NA,NA,NA,0.2688882451392519,anova,NAS_1,Discharge_TPHE_C2,NA
3.819,0.09223,41.41,0,log_alpha,NAS_1,Discharge_TPHE_C3,FALSE
0.9726,0.1165,8.347,0,log_beta,NAS_1,Discharge_TPHE_C3,FALSE
-0.2913,0.1915,-1.521,0.1283,MODVaginal,NAS_1,Discharge_TPHE_C3,FALSE
-0.01958,0.01952,-1.003,0.3157,gaBirth,NAS_1,Discharge_TPHE_C3,FALSE
0.09709,0.08621,1.126,0.2601,voi,NAS_1,Discharge_TPHE_C3,FALSE
NA,NA,NA,0.27181235086541156,anova,NAS_1,Discharge_TPHE_C3,NA
3.82,0.09297,41.09,0,log_alpha,NAS_1,Discharge_TPHE_C4,FALSE
0.9682,0.116,8.347,0,log_beta,NAS_1,Discharge_TPHE_C4,FALSE
-0.30620000000000003,0.1928,-1.588,0.1122,MODVaginal,NAS_1,Discharge_TPHE_C4,FALSE
-0.02468,0.0192,-1.285,0.1987,gaBirth,NAS_1,Discharge_TPHE_C4,FALSE
0.1013,0.09382,1.08,0.2802,voi,NAS_1,Discharge_TPHE_C4,FALSE
NA,NA,NA,0.28978547131064436,anova,NAS_1,Discharge_TPHE_C4,NA
3.819,0.09392,40.66,0,log_alpha,NAS_1,Discharge_TPHE_C5,FALSE
0.9591,0.1158,8.279,2.22e-16,log_beta,NAS_1,Discharge_TPHE_C5,FALSE
