estimate,std.error,statistic,p.value,term,response,voi,produced_warning
3.663,0.1027,35.68,0,log_alpha,NAS_1,TPHE_IST_Birth,FALSE
1.078,0.1348,7.993,1.332e-15,log_beta,NAS_1,TPHE_IST_Birth,FALSE
-0.127,0.2494,-0.5091,0.6107,MODVaginal,NAS_1,TPHE_IST_Birth,FALSE
0.1549,0.465,0.333,0.7391,milk_perinatalTRUE,NAS_1,TPHE_IST_Birth,FALSE
0.05886,0.03427,1.717,0.0859,milk_months,NAS_1,TPHE_IST_Birth,FALSE
0.06462,0.1025,0.6305,0.5284,abx_hospital,NAS_1,TPHE_IST_Birth,FALSE
-0.1197,0.08046,-1.487,0.1369,abx_discharge,NAS_1,TPHE_IST_Birth,FALSE
-0.01205,0.0344,-0.3503,0.7261,gaBirth,NAS_1,TPHE_IST_Birth,FALSE
0.1785,0.3667,0.4867,0.6265,voiTPHE_2,NAS_1,TPHE_IST_Birth,FALSE
-0.06582,0.3143,-0.2094,0.8341,voiTPHE_3,NAS_1,TPHE_IST_Birth,FALSE
-0.983,1.79,-0.5493,0.5828,voiTPHE_4,NAS_1,TPHE_IST_Birth,FALSE
0.3267,0.4572,0.7147,0.4748,voiTPHE_5,NAS_1,TPHE_IST_Birth,FALSE
NA,NA,NA,0.8614508678137454,anova,NAS_1,TPHE_IST_Birth,NA
3.801,0.07705,49.34,0,log_alpha,NAS_1,TPHE_IST_Disch,FALSE
1.195,0.1179,10.14,0,log_beta,NAS_1,TPHE_IST_Disch,FALSE
-0.2549,0.1864,-1.367,0.1715,MODVaginal,NAS_1,TPHE_IST_Disch,FALSE
-0.1601,0.4065,-0.3938,0.6937,milk_perinatalTRUE,NAS_1,TPHE_IST_Disch,FALSE
0.06882,0.02551,2.697,0.006989,milk_months,NAS_1,TPHE_IST_Disch,FALSE
0.02831,0.08418,0.3363,0.7367,abx_hospital,NAS_1,TPHE_IST_Disch,FALSE
-0.1452,0.03354,-4.33,1.491e-5,abx_discharge,NAS_1,TPHE_IST_Disch,FALSE
-0.03576,0.02069,-1.728,0.08392,gaBirth,NAS_1,TPHE_IST_Disch,FALSE
-0.457,0.3482,-1.312,0.1894,voiTPHE_2,NAS_1,TPHE_IST_Disch,FALSE
