estimate,std.error,statistic,p.value,term,response,voi,produced_warning
3.683,0.1075,34.26,0,log_alpha,NAS_1,TPHE_IST_Birth,FALSE
0.9932,0.1323,7.506,6.106e-14,log_beta,NAS_1,TPHE_IST_Birth,FALSE
-0.1713,0.2185,-0.784,0.4331,MODVaginal,NAS_1,TPHE_IST_Birth,FALSE
0.232,0.3172,0.7317,0.4644,voiTPHE_2,NAS_1,TPHE_IST_Birth,FALSE
0.003822,0.3245,0.01178,0.9906,voiTPHE_3,NAS_1,TPHE_IST_Birth,FALSE
-1.266,1.653,-0.7659,0.4437,voiTPHE_4,NAS_1,TPHE_IST_Birth,FALSE
0.4689,0.3518,1.333,0.1826,voiTPHE_5,NAS_1,TPHE_IST_Birth,FALSE
NA,NA,NA,0.5141300607571225,anova,NAS_1,TPHE_IST_Birth,NA
3.835,0.08842,43.37,0,log_alpha,NAS_1,TPHE_IST_Disch,FALSE
1.002,0.1173,8.547,0,log_beta,NAS_1,TPHE_IST_Disch,FALSE
-0.3901,0.1929,-2.022,0.04318,MODVaginal,NAS_1,TPHE_IST_Disch,FALSE
-0.3969,0.3294,-1.205,0.2283,voiTPHE_2,NAS_1,TPHE_IST_Disch,FALSE
-0.2546,0.2297,-1.109,0.2676,voiTPHE_3,NAS_1,TPHE_IST_Disch,FALSE
0.294,0.3859,0.7619,0.4461,voiTPHE_4,NAS_1,TPHE_IST_Disch,FALSE
0.1187,0.3299,0.3598,0.719,voiTPHE_5,NAS_1,TPHE_IST_Disch,FALSE
NA,NA,NA,0.3258813973709638,anova,NAS_1,TPHE_IST_Disch,NA
3.728,0.1051,35.48,0,log_alpha,NAS_1,TPHE_IST_1YR,FALSE
0.9305,0.1271,7.32,2.489e-13,log_beta,NAS_1,TPHE_IST_1YR,FALSE
-0.2036,0.2149,-0.9475,0.3434,MODVaginal,NAS_1,TPHE_IST_1YR,FALSE
0.1372,0.5045,0.2719,0.7857,voiTPHE_6,NAS_1,TPHE_IST_1YR,FALSE
-0.29,0.4685,-0.619,0.5359,voiTPHE_7,NAS_1,TPHE_IST_1YR,FALSE
NA,NA,NA,0.24853892773203767,anova,NAS_1,TPHE_IST_1YR,NA
3.697,0.1015,36.44,0,log_alpha,NAS_1,Birth_TPHE_C1,FALSE
0.996,0.1335,7.46,8.682e-14,log_beta,NAS_1,Birth_TPHE_C1,FALSE
-0.1303,0.2145,-0.6072,0.5437,MODVaginal,NAS_1,Birth_TPHE_C1,FALSE
0.1326,0.08334,1.591,0.1116,voi,NAS_1,Birth_TPHE_C1,FALSE
NA,NA,NA,0.12643372017593513,anova,NAS_1,Birth_TPHE_C1,NA
3.701,0.1051,35.21,0,log_alpha,NAS_1,Birth_TPHE_C2,FALSE
0.9618,0.1323,7.273,3.524e-13,log_beta,NAS_1,Birth_TPHE_C2,FALSE
-0.145,0.2227,-0.6509,0.5151,MODVaginal,NAS_1,Birth_TPHE_C2,FALSE
-0.01595,0.1086,-0.1469,0.8832,voi,NAS_1,Birth_TPHE_C2,FALSE
NA,NA,NA,0.8833445693218284,anova,NAS_1,Birth_TPHE_C2,NA
3.714,0.09984,37.2,0,log_alpha,NAS_1,Birth_TPHE_C3,FALSE
1.019,0.1332,7.653,1.954e-14,log_beta,NAS_1,Birth_TPHE_C3,FALSE
-0.1191,0.2123,-0.561,0.5748,MODVaginal,NAS_1,Birth_TPHE_C3,FALSE
0.2139,0.09546,2.241,0.02504,voi,NAS_1,Birth_TPHE_C3,FALSE
NA,NA,NA,0.0317498303942918,anova,NAS_1,Birth_TPHE_C3,NA
3.696,0.1041,35.5,0,log_alpha,NAS_1,Birth_TPHE_C4,FALSE
0.9717,0.1328,7.317,2.527e-13,log_beta,NAS_1,Birth_TPHE_C4,FALSE
-0.1524,0.2195,-0.6944,0.4874,MODVaginal,NAS_1,Birth_TPHE_C4,FALSE
0.07599,0.09178,0.8279,0.4077,voi,NAS_1,Birth_TPHE_C4,FALSE
NA,NA,NA,0.41376827574453845,anova,NAS_1,Birth_TPHE_C4,NA
3.7,0.1043,35.49,0,log_alpha,NAS_1,Birth_TPHE_C5,FALSE
0.9688,0.1324,7.318,2.518e-13,log_beta,NAS_1,Birth_TPHE_C5,FALSE
-0.09375,0.2288,-0.4097,0.6821,MODVaginal,NAS_1,Birth_TPHE_C5,FALSE
-0.07912,0.1083,-0.7308,0.4649,voi,NAS_1,Birth_TPHE_C5,FALSE
NA,NA,NA,0.467300574969149,anova,NAS_1,Birth_TPHE_C5,NA
3.7,0.1047,35.34,0,log_alpha,NAS_1,Birth_TPHE_C6,FALSE
0.9656,0.1327,7.274,3.495e-13,log_beta,NAS_1,Birth_TPHE_C6,FALSE
-0.1572,0.2237,-0.7028,0.4822,MODVaginal,NAS_1,Birth_TPHE_C6,FALSE
