term,estimate,std.error,statistic,p.value,response,voi,produced_warning
(Intercept),-3.4916241918053488,0.23456365352359104,-14.885614797324862,2.1216059568743273e-25,REC_1,TPHE_IST_Birth,TRUE
MODVaginal,0.4155957189065513,0.21440097605941486,1.9384040434190062,0.05589291592373797,REC_1,TPHE_IST_Birth,TRUE
gaBirth,0.012381882771745713,0.02737541031987954,0.45229944052214655,0.6522054880882934,REC_1,TPHE_IST_Birth,TRUE
voiTPHE_2,-0.11236102323988403,0.28586121586673974,-0.3930614473152717,0.6952581826090827,REC_1,TPHE_IST_Birth,TRUE
voiTPHE_3,-0.28693012635022597,0.4152425001827588,-0.6909941208424973,0.4914520475122319,REC_1,TPHE_IST_Birth,TRUE
voiTPHE_4,-0.4210893129406011,0.45805403257807775,-0.9193005256837776,0.3605398861278706,REC_1,TPHE_IST_Birth,TRUE
voiTPHE_5,-0.2176135289522406,0.34433215194156597,-0.6319872475608092,0.5290914021841828,REC_1,TPHE_IST_Birth,TRUE
voiTPHE_6,-0.6782984978500657,0.8252305176520208,-0.8219503318660438,0.41340484773215047,REC_1,TPHE_IST_Birth,TRUE
anova,NA,NA,NA,0.8540505134449962,REC_1,TPHE_IST_Birth,NA
(Intercept),-3.317553999349754,0.25535532841891867,-12.991912171525943,4.8970127709429286e-23,REC_1,TPHE_IST_Disch,TRUE
MODVaginal,0.49008886845203964,0.19758894009242925,2.4803456520531117,0.014830279327902138,REC_1,TPHE_IST_Disch,TRUE
gaBirth,-0.03388715089213428,0.01773880970239397,-1.9103396147014862,0.05901291836985102,REC_1,TPHE_IST_Disch,TRUE
voiTPHE_2,-0.0483308453220677,0.2948768513128128,-0.16390179529825866,0.8701460094120147,REC_1,TPHE_IST_Disch,TRUE
voiTPHE_3,-0.35254600723184704,0.25851875278307956,-1.3637154111124186,0.1757814484225577,REC_1,TPHE_IST_Disch,TRUE
voiTPHE_4,-0.6221728195878858,0.35753806459185566,-1.740158269017095,0.08497036385030905,REC_1,TPHE_IST_Disch,TRUE
voiTPHE_5,-0.4984227387938235,0.33040152881030493,-1.5085364180623553,0.13463453074128745,REC_1,TPHE_IST_Disch,TRUE
voiTPHE_6,-0.9162519028285305,0.744190656517495,-1.231205867480534,0.22119242173449447,REC_1,TPHE_IST_Disch,TRUE
anova,NA,NA,NA,0.22882250648609487,REC_1,TPHE_IST_Disch,NA
(Intercept),-4.275311323337901,0.5887516231991589,-7.2616552632274916,1.7820835110228795e-10,REC_1,TPHE_IST_1YR,TRUE
MODVaginal,0.5140730764733817,0.23847223622173658,2.155693612884083,0.03396816319226933,REC_1,TPHE_IST_1YR,TRUE
gaBirth,-0.037741918156428515,0.019073567969037596,-1.9787550089052832,0.051120184255388994,REC_1,TPHE_IST_1YR,TRUE
voiTPHE_6,0.5612313227690354,0.6155585369096663,0.9117432203712521,0.36451308876876454,REC_1,TPHE_IST_1YR,TRUE
voiTPHE_7,0.6454416551213816,0.5607324731430339,1.1510688002489555,0.252969949802987,REC_1,TPHE_IST_1YR,TRUE
anova,NA,NA,NA,0.4092169025254755,REC_1,TPHE_IST_1YR,NA
(Intercept),-3.6412632771521762,0.1736607077308137,-20.967686500485705,3.40555507589016e-36,REC_1,Birth_TPHE_C1,TRUE
MODVaginal,0.4125313913417844,0.21645162683547894,1.9058826093062458,0.05989309117386448,REC_1,Birth_TPHE_C1,TRUE
gaBirth,-0.0040559995861596185,0.022894752110754608,-0.17715848446571947,0.8597864593929563,REC_1,Birth_TPHE_C1,TRUE
voi,0.027750121225518364,0.10959857681698715,0.2531978245653392,0.8006992854228063,REC_1,Birth_TPHE_C1,TRUE
anova,NA,NA,NA,0.7962727244870602,REC_1,Birth_TPHE_C1,NA
(Intercept),-3.6436941194207217,0.1710262591632302,-21.304881117367607,1.0396070286324034e-36,REC_1,Birth_TPHE_C2,TRUE
MODVaginal,0.4137978516568956,0.21189664750066978,1.9528286857657229,0.05398208615067141,REC_1,Birth_TPHE_C2,TRUE
gaBirth,-0.005227390487044264,0.022649917125238346,-0.23079071142470042,0.8180071057900341,REC_1,Birth_TPHE_C2,TRUE
voi,-0.04665855965025936,0.10341936386143916,-0.45115883436270515,0.652972441865399,REC_1,Birth_TPHE_C2,TRUE
anova,NA,NA,NA,0.6455550233753999,REC_1,Birth_TPHE_C2,NA
(Intercept),-3.6347670983492297,0.17145513443316354,-21.199523189351503,1.5041453756941774e-36,REC_1,Birth_TPHE_C3,TRUE
MODVaginal,0.4043371088478012,0.21586148008946096,1.8731322915057795,0.06433246644682196,REC_1,Birth_TPHE_C3,TRUE
gaBirth,-0.002406071882830488,0.022022431818293796,-0.10925550378281976,0.9132458017022486,REC_1,Birth_TPHE_C3,TRUE
voi,0.007578474370790181,0.10822361309487061,0.07002607059650434,0.9443300136862836,REC_1,Birth_TPHE_C3,TRUE
anova,NA,NA,NA,0.9398866898058511,REC_1,Birth_TPHE_C3,NA
(Intercept),-3.6334901645200945,0.17023419876125417,-21.3440671202377,9.064428377514933e-37,REC_1,Birth_TPHE_C4,TRUE
MODVaginal,0.40091204192181057,0.2113476703438739,1.8969314460363125,0.06108000752236275,REC_1,Birth_TPHE_C4,TRUE
gaBirth,-0.002793328768137362,0.022490554510245484,-0.124200084389421,0.9014369373539031,REC_1,Birth_TPHE_C4,TRUE
voi,0.006069867219944169,0.10301504580567765,0.05892214261006163,0.9531462204376512,REC_1,Birth_TPHE_C4,TRUE
anova,NA,NA,NA,0.9531024008079074,REC_1,Birth_TPHE_C4,NA
(Intercept),-3.6255211000205243,0.1756471270430777,-20.64093595525397,1.0885585836503795e-35,REC_1,Birth_TPHE_C5,TRUE
MODVaginal,0.39014453894261913,0.2205485218081488,1.7689737194520798,0.0803240939358424,REC_1,Birth_TPHE_C5,TRUE
gaBirth,-4.1561875765832776e-4,0.0250608410190832,-0.016584389859136992,0.9868052998364947,REC_1,Birth_TPHE_C5,TRUE
voi,0.01939384823153354,0.11044064792536204,0.17560425980695335,0.8610037763309001,REC_1,Birth_TPHE_C5,TRUE
anova,NA,NA,NA,0.8663553180888401,REC_1,Birth_TPHE_C5,NA
(Intercept),-3.608336277698633,0.17090640006465535,-21.11293828863968,2.039523904491214e-36,REC_1,Birth_TPHE_C6,TRUE
MODVaginal,0.3814649494829332,0.2106099348551823,1.811239102966499,0.07347736145215174,REC_1,Birth_TPHE_C6,TRUE
gaBirth,0.01099338074248159,0.02848185371347345,0.3859784146451511,0.7004337794897133,REC_1,Birth_TPHE_C6,TRUE
voi,0.09275744740249671,0.12474483400087603,0.7435774647136515,0.4590906471356717,REC_1,Birth_TPHE_C6,TRUE
anova,NA,NA,NA,0.4581424781781894,REC_1,Birth_TPHE_C6,NA
(Intercept),-3.6212605300068876,0.16894033859395663,-21.43514426539943,6.595802667842877e-37,REC_1,Birth_TPHE_C8,TRUE
MODVaginal,0.3878067260846012,0.20980079312283467,1.848452145066712,0.0678576433674868,REC_1,Birth_TPHE_C8,TRUE
gaBirth,0.0037295107707475137,0.02352349497081,0.15854407584312685,0.8743872902145411,REC_1,Birth_TPHE_C8,TRUE
voi,-0.07975315794437018,0.11812859476130315,-0.6751384633460138,0.5013380588630485,REC_1,Birth_TPHE_C8,TRUE
anova,NA,NA,NA,0.48532673432233464,REC_1,Birth_TPHE_C8,NA
(Intercept),-3.630871160220033,0.1722079676076894,-21.08422281883959,2.256657703504431e-36,REC_1,Birth_TPHE_C9,TRUE
MODVaginal,0.39783700519636156,0.21462341632207696,1.8536514422049044,0.06710186216695464,REC_1,Birth_TPHE_C9,TRUE
gaBirth,-0.0019646877729570006,0.022870450440242326,-0.08590507555111292,0.9317348413222255,REC_1,Birth_TPHE_C9,TRUE
voi,-0.009440102357491702,0.11154441201335767,-0.08463088546615163,0.9327449262242756,REC_1,Birth_TPHE_C9,TRUE
anova,NA,NA,NA,0.9360154600201352,REC_1,Birth_TPHE_C9,NA
(Intercept),-3.6332926751590335,0.17010180317370305,-21.359518872641345,8.587910037190293e-37,REC_1,Birth_TPHE_C10,TRUE
MODVaginal,0.40071537766204596,0.21135418557277902,1.895942474837155,0.061212351475649754,REC_1,Birth_TPHE_C10,TRUE
gaBirth,-0.0026003028117870595,0.022024533215233334,-0.11806392382420856,0.9062830607467218,REC_1,Birth_TPHE_C10,TRUE
voi,0.005132600399210577,0.08443568973568133,0.060787096253701975,0.9516650621767524,REC_1,Birth_TPHE_C10,TRUE
anova,NA,NA,NA,0.9522730521193442,REC_1,Birth_TPHE_C10,NA
(Intercept),-3.6196344806255687,0.17000259086044411,-21.29164304088132,1.0889209612831087e-36,REC_1,Birth_TPHE_C11,TRUE
MODVaginal,0.3927964975007406,0.21121775433574197,1.859675569111342,0.06623500615079624,REC_1,Birth_TPHE_C11,TRUE
gaBirth,0.009523030324061859,0.02441822159024172,0.3899968836333092,0.69747063357038,REC_1,Birth_TPHE_C11,TRUE
voi,0.11860315880009785,0.10962326882810877,1.0819159113570105,0.2822126413816893,REC_1,Birth_TPHE_C11,TRUE
anova,NA,NA,NA,0.2802370324450616,REC_1,Birth_TPHE_C11,NA
(Intercept),-3.640685514731143,0.17214323638545154,-21.14916386595152,1.7953869906868308e-36,REC_1,Birth_TPHE_C12,TRUE
MODVaginal,0.41049183734726047,0.21348340818139164,1.9228278246264252,0.05769940502546213,REC_1,Birth_TPHE_C12,TRUE
gaBirth,-0.004496031946428626,0.0231035981966929,-0.1946031050294234,0.846147203101503,REC_1,Birth_TPHE_C12,TRUE
voi,-0.028655572190015414,0.10636186319294816,-0.26941585385761924,0.7882333224322886,REC_1,Birth_TPHE_C12,TRUE
anova,NA,NA,NA,0.7811271326723823,REC_1,Birth_TPHE_C12,NA
(Intercept),-3.6339001674785356,0.16916219310993746,-21.481751333862682,5.607451653199986e-37,REC_1,Birth_TPHE_C13,TRUE
MODVaginal,0.3997812966098755,0.20992387280429814,1.9044108288844892,0.06008690129829373,REC_1,Birth_TPHE_C13,TRUE
gaBirth,-0.002878036509135491,0.021855643756813037,-0.13168390467740507,0.8955315501720743,REC_1,Birth_TPHE_C13,TRUE
voi,0.03653987037990183,0.09945336476989378,0.36740708033805075,0.7141876159856455,REC_1,Birth_TPHE_C13,TRUE
anova,NA,NA,NA,0.7124720237081044,REC_1,Birth_TPHE_C13,NA
(Intercept),-3.6524698124429364,0.1705216407497523,-21.419391675940357,6.968190707090484e-37,REC_1,Birth_TPHE_C14,TRUE
MODVaginal,0.4415721020136711,0.21447997803267485,2.058803372063009,0.04243613116742902,REC_1,Birth_TPHE_C14,TRUE
gaBirth,0.0018661763292788752,0.02212263770489032,0.0843559594553387,0.9329628820030231,REC_1,Birth_TPHE_C14,TRUE
