term,estimate,std.error,statistic,p.value,response,voi,produced_warning
(Intercept),-2.939143901498387,0.3310842171283248,-8.877330145759275,1.3888718945883899e-13,REC_1,TPHE_IST_Birth,TRUE
MODVaginal,0.26476200160192215,0.22763425233592477,1.1631026477122923,0.24820292111587663,REC_1,TPHE_IST_Birth,TRUE
milk_perinatalTRUE,-0.5788010129451195,0.2947831004520974,-1.9634809867235772,0.05302169607952189,REC_1,TPHE_IST_Birth,TRUE
milk_months,0.0407393452893173,0.029710686078177822,1.3712017683509474,0.17409908792262213,REC_1,TPHE_IST_Birth,TRUE
abx_hospital,0.23147675051984729,0.12268562006482502,1.8867472031158898,0.06277727908866144,REC_1,TPHE_IST_Birth,TRUE
abx_discharge,0.017791706573969408,0.09375363420983496,0.1897708470068355,0.8499634584656526,REC_1,TPHE_IST_Birth,TRUE
gaBirth,0.02859090074348458,0.03639624728152343,0.7855452932368322,0.434425754255114,REC_1,TPHE_IST_Birth,TRUE
voiTPHE_2,-0.13109084577234018,0.29747980547354475,-0.4406714115052702,0.6606247609124096,REC_1,TPHE_IST_Birth,TRUE
voiTPHE_3,-0.21465762877950123,0.4219530136976109,-0.5087240090986382,0.6123285922705454,REC_1,TPHE_IST_Birth,TRUE
voiTPHE_4,-0.20447434407038995,0.4798539990931269,-0.4261178284578741,0.6711522254416861,REC_1,TPHE_IST_Birth,TRUE
voiTPHE_5,-0.34516449835504504,0.3499355440551169,-0.9863659300087549,0.3268908399391919,REC_1,TPHE_IST_Birth,TRUE
voiTPHE_6,-0.8255898636136587,0.8257906102600352,-0.9997569036946142,0.3204054979219907,REC_1,TPHE_IST_Birth,TRUE
anova,NA,NA,NA,0.8160816553308542,REC_1,TPHE_IST_Birth,NA
(Intercept),-2.7193277840895136,0.3215349148640251,-8.457332807043674,3.4745667331897383e-13,REC_1,TPHE_IST_Disch,TRUE
MODVaginal,0.23018934162158822,0.19850681753501057,1.159604211482509,0.24914702854035356,REC_1,TPHE_IST_Disch,TRUE
milk_perinatalTRUE,-0.6087093482627237,0.2712305973408544,-2.2442502956175003,0.02716263959250845,REC_1,TPHE_IST_Disch,TRUE
milk_months,0.03745946349149407,0.02640773518793585,1.4185034507846441,0.15935084419313808,REC_1,TPHE_IST_Disch,TRUE
abx_hospital,0.1883480595679109,0.08306849932966417,2.2673824745579685,0.02565789146767913,REC_1,TPHE_IST_Disch,TRUE
abx_discharge,0.04369154832420463,0.03483771364262668,1.2541451133218051,0.21289907962074667,REC_1,TPHE_IST_Disch,TRUE
gaBirth,-0.01036772202264181,0.024408229111017594,-0.4247633851470994,0.6719798626729644,REC_1,TPHE_IST_Disch,TRUE
voiTPHE_2,-0.036110057339165204,0.29120538666281387,-0.1240020239769018,0.9015784478543829,REC_1,TPHE_IST_Disch,TRUE
voiTPHE_3,-0.30351211103107145,0.2544547735335574,-1.1927939366837792,0.23595224421205546,REC_1,TPHE_IST_Disch,TRUE
voiTPHE_4,-0.3544304036135526,0.34847899270946775,-1.0170782486996186,0.31172689087836203,REC_1,TPHE_IST_Disch,TRUE
voiTPHE_5,-0.6534267998319059,0.311143162567865,-2.1000840720367226,0.0383994761463835,REC_1,TPHE_IST_Disch,TRUE
voiTPHE_6,-0.7220767306959374,0.7168762776302265,-1.0072543243903982,0.3163983948133671,REC_1,TPHE_IST_Disch,TRUE
anova,NA,NA,NA,0.22386518655404936,REC_1,TPHE_IST_Disch,NA
(Intercept),-3.992613328299483,0.5668571828571206,-7.043420193029189,5.854600071138721e-10,REC_1,TPHE_IST_1YR,TRUE
MODVaginal,0.3328732594074099,0.22155937032656106,1.5024111095675212,0.13692818164178508,REC_1,TPHE_IST_1YR,TRUE
milk_perinatalTRUE,-0.572234622666398,0.2866848435430423,-1.9960407240031992,0.04933206591696305,REC_1,TPHE_IST_1YR,TRUE
milk_months,0.04415147803418406,0.029466777924499837,1.4983476696132014,0.1379786282401348,REC_1,TPHE_IST_1YR,TRUE
abx_hospital,0.22645191190365974,0.08653934134489338,2.6167510450670015,0.010610526440499002,REC_1,TPHE_IST_1YR,TRUE
abx_discharge,0.040174243189187324,0.03413824850998853,1.1768103210518466,0.24276083365024329,REC_1,TPHE_IST_1YR,TRUE
gaBirth,-0.0031035937523123855,0.02712451103737427,-0.1144202654210434,0.9091913339196191,REC_1,TPHE_IST_1YR,TRUE
voiTPHE_6,0.8521612489892348,0.5654971804442576,1.506923957286175,0.1357689359049473,REC_1,TPHE_IST_1YR,TRUE
voiTPHE_7,0.9639984425545408,0.5159593574893298,1.8683611965976927,0.06537263814575656,REC_1,TPHE_IST_1YR,TRUE
anova,NA,NA,NA,0.08579387092305205,REC_1,TPHE_IST_1YR,NA
(Intercept),-3.128368618907846,0.28188434493877695,-11.098057324138745,3.2684475241238917e-18,REC_1,Birth_TPHE_C1,TRUE
MODVaginal,0.2758818016869008,0.2267134367188657,1.2168745076587848,0.22701994861035119,REC_1,Birth_TPHE_C1,TRUE
milk_perinatalTRUE,-0.5431362064060479,0.2755421408450826,-1.9711547741490985,0.05195974863073258,REC_1,Birth_TPHE_C1,TRUE
milk_months,0.04073568544184025,0.028758956262878464,1.4164521504009215,0.16029759730186666,REC_1,Birth_TPHE_C1,TRUE
abx_hospital,0.2210265261880828,0.12212412614770585,1.8098514450843002,0.0738531950966163,REC_1,Birth_TPHE_C1,TRUE
abx_discharge,0.026414850808915355,0.09264987816092965,0.2851039994141565,0.7762579955199582,REC_1,Birth_TPHE_C1,TRUE
gaBirth,0.013366265908215418,0.031820511971271045,0.4200518810094278,0.6755074740453009,REC_1,Birth_TPHE_C1,TRUE
voi,-0.023546297756308253,0.11115721682255873,-0.2118287811568314,0.8327477166142002,REC_1,Birth_TPHE_C1,TRUE
anova,NA,NA,NA,0.82141489065475215,REC_1,Birth_TPHE_C1,NA
(Intercept),-3.115190426275496,0.2770433641219994,-11.24441452026147,1.676627320206392e-18,REC_1,Birth_TPHE_C2,TRUE
MODVaginal,0.31021516506123636,0.22274720716718274,1.3926781350322592,0.16734939820713368,REC_1,Birth_TPHE_C2,TRUE
milk_perinatalTRUE,-0.6035881353914239,0.2869764128762713,-2.1032674056444436,0.038398578298555926,REC_1,Birth_TPHE_C2,TRUE
milk_months,0.04185529359915723,0.02819078644775932,1.4847153582153436,0.14131842558577723,REC_1,Birth_TPHE_C2,TRUE
abx_hospital,0.2054152411649838,0.12288749197889888,1.67157159656457,0.09828659484009877,REC_1,Birth_TPHE_C2,TRUE
abx_discharge,0.030461123668037625,0.09362566942417148,0.3253501294611137,0.7457155991810613,REC_1,Birth_TPHE_C2,TRUE
gaBirth,0.003220534410595863,0.03365829597358082,0.09568322808509783,0.9239973857265384,REC_1,Birth_TPHE_C2,TRUE
voi,-0.08545195179540374,0.10634638946804288,-0.8035247103624714,0.4239128822161248,REC_1,Birth_TPHE_C2,TRUE
anova,NA,NA,NA,0.4096885084017525,REC_1,Birth_TPHE_C2,NA
(Intercept),-3.135896995549109,0.277018759024794,-11.320161156553434,1.1877011688255646e-18,REC_1,Birth_TPHE_C3,TRUE
MODVaginal,0.27648589037887566,0.2239598289369142,1.234533405795542,0.22040626943084365,REC_1,Birth_TPHE_C3,TRUE
milk_perinatalTRUE,-0.5363413362242442,0.27392594740370674,-1.9579793053842933,0.053512779331307735,REC_1,Birth_TPHE_C3,TRUE
milk_months,0.040835217363330366,0.028622041636267588,1.426705260311941,0.15732782193892927,REC_1,Birth_TPHE_C3,TRUE
abx_hospital,0.22198975385313235,0.12226986467750994,1.8155720907897976,0.0729623752875045,REC_1,Birth_TPHE_C3,TRUE
abx_discharge,0.031014385333403675,0.09429614198028848,0.32890407478056605,0.7430371876541979,REC_1,Birth_TPHE_C3,TRUE
