term,estimate,std.error,statistic,p.value,response,voi,produced_warning
(Intercept),-3.556477498682223,0.18840481843482765,-18.876786316972396,2.485426499085893e-32,REC_1,TPHE_IST_Birth,TRUE
MODVaginal,0.42663499998046,0.21376811218105266,1.995784102818469,0.04912198723351301,REC_1,TPHE_IST_Birth,TRUE
voiTPHE_2,-0.045703854822304324,0.24750322116612836,-0.1846596363755085,0.8539307726616835,REC_1,TPHE_IST_Birth,TRUE
voiTPHE_3,-0.2500293360648863,0.40900516241182316,-0.6113109540977733,0.5426062747791047,REC_1,TPHE_IST_Birth,TRUE
voiTPHE_4,-0.33315660024142285,0.41918462252239747,-0.7947729528738187,0.4289334921201099,REC_1,TPHE_IST_Birth,TRUE
voiTPHE_5,-0.1470783168089952,0.3098228808955197,-0.47471741397496664,0.6361916979187765,REC_1,TPHE_IST_Birth,TRUE
voiTPHE_6,-0.5982919106583074,0.8132551686503804,-0.7356755096327141,0.46392993647260905,REC_1,TPHE_IST_Birth,TRUE
anova,NA,NA,NA,0.8892537153599707,REC_1,TPHE_IST_Birth,NA
(Intercept),-3.077909075211941,0.22127590901923638,-13.909824566326225,5.041106950552035e-25,REC_1,TPHE_IST_Disch,TRUE
MODVaginal,0.4503526620479307,0.19898433815868052,2.2632568282273344,0.02580314170385734,REC_1,TPHE_IST_Disch,TRUE
voiTPHE_2,-0.20462171244861962,0.28739492872406175,-0.7119879023512079,0.47814676573706505,REC_1,TPHE_IST_Disch,TRUE
voiTPHE_3,-0.41148482109028844,0.26061984553630474,-1.5788698678856672,0.11755590917681903,REC_1,TPHE_IST_Disch,TRUE
voiTPHE_4,-0.7833480627559652,0.3519125515476528,-2.2259736383682,0.028283700703847253,REC_1,TPHE_IST_Disch,TRUE
voiTPHE_5,-0.6418483852355359,0.32687755577205485,-1.963574353459505,0.05238456177744711,REC_1,TPHE_IST_Disch,TRUE
voiTPHE_6,-0.8683058471808489,0.75150572254844,-1.1554214706926338,0.2506988849662619,REC_1,TPHE_IST_Disch,TRUE
anova,NA,NA,NA,0.14150123826657196,REC_1,TPHE_IST_Disch,NA
(Intercept),-4.141275095984867,0.6029197569267731,-6.868700267999081,1.004556276784769e-9,REC_1,TPHE_IST_1YR,TRUE
MODVaginal,0.4796415403474983,0.24971561483245164,1.9207510938765964,0.05811568543008947,REC_1,TPHE_IST_1YR,TRUE
voiTPHE_6,0.5753322826596918,0.636584777719024,0.9037795165652425,0.3686666394298608,REC_1,TPHE_IST_1YR,TRUE
voiTPHE_7,0.6674631798080538,0.5787656830721741,1.1532528609247532,0.2520393028560615,REC_1,TPHE_IST_1YR,TRUE
anova,NA,NA,NA,0.40341959176545666,REC_1,TPHE_IST_1YR,NA
(Intercept),-3.629997328084376,0.15952548066812525,-22.754968754089987,4.262297887691128e-39,REC_1,Birth_TPHE_C1,TRUE
MODVaginal,0.40339427668844485,0.208043881785845,1.9389864927808285,0.05563587036407329,REC_1,Birth_TPHE_C1,TRUE
voi,0.02247977881904325,0.10448677712678811,0.21514472392775075,0.8301412689652412,REC_1,Birth_TPHE_C1,TRUE
anova,NA,NA,NA,0.8272919152768206,REC_1,Birth_TPHE_C1,NA
(Intercept),-3.6297985721889017,0.15797613692031115,-22.976878932163675,2.0203070617466558e-39,REC_1,Birth_TPHE_C2,TRUE
MODVaginal,0.403251048129891,0.204810154037174,1.9689016397922294,0.052040831242521894,REC_1,Birth_TPHE_C2,TRUE
voi,-0.04041629085867636,0.0987144638468487,-0.40942623080423673,0.683199680278167,REC_1,Birth_TPHE_C2,TRUE
anova,NA,NA,NA,0.6778557934440577,REC_1,Birth_TPHE_C2,NA
(Intercept),-3.6286922361558864,0.16063941518738403,-22.58905282942582,7.473503491669975e-39,REC_1,Birth_TPHE_C3,TRUE
MODVaginal,0.40018237837589876,0.2107706097688308,1.898663095461038,0.06081276566919938,REC_1,Birth_TPHE_C3,TRUE
voi,0.008415526845245505,0.1070739760484824,0.07859544546505876,0.9375288935214801,REC_1,Birth_TPHE_C3,TRUE
anova,NA,NA,NA,0.932695783529866,REC_1,Birth_TPHE_C3,NA
(Intercept),-3.6264457595319715,0.1587737383885068,-22.84033742821086,3.1963154943347235e-39,REC_1,Birth_TPHE_C4,TRUE
MODVaginal,0.39602370307297985,0.20574000972126988,1.924874522993852,0.05740350022373076,REC_1,Birth_TPHE_C4,TRUE
voi,0.0033996159099466336,0.10008906844011396,0.03396590619664641,0.9729795553622373,REC_1,Birth_TPHE_C4,TRUE
anova,NA,NA,NA,0.9742496958341562,REC_1,Birth_TPHE_C4,NA
(Intercept),-3.6243282283453713,0.15918354373950436,-22.768234348874635,4.0756694652128027e-39,REC_1,Birth_TPHE_C5,TRUE
MODVaginal,0.3890311536165846,0.20877924000859555,1.8633612882227562,0.06567256947246529,REC_1,Birth_TPHE_C5,TRUE
voi,0.02027267077704869,0.09627497459287628,0.21057051287499104,0.8336984350742279,REC_1,Birth_TPHE_C5,TRUE
