term,estimate,std.error,statistic,p.value,response,voi,produced_warning
(Intercept),-2.765921706355876,0.5348648543333593,-5.171253418404625,2.32528964500585e-7,REC_2,TPHE_IST_Birth,TRUE
MODVaginal,-0.6271026419212019,0.5239267127252285,-1.1969281708491235,0.23133455287388338,REC_2,TPHE_IST_Birth,TRUE
gaBirth,-0.33164286669213755,0.08393466563307755,-3.9512025715563395,7.775946937448257e-5,REC_2,TPHE_IST_Birth,TRUE
voiTPHE_2,0.5268864288640331,0.6577539755701595,0.801038759830092,0.4231092073762963,REC_2,TPHE_IST_Birth,TRUE
voiTPHE_3,-0.654792418630244,0.9131817391082581,-0.7170450202712804,0.4733463182003066,REC_2,TPHE_IST_Birth,TRUE
voiTPHE_4,0.5143410067631943,0.9346639112401562,0.550295138795658,0.5821169579360734,REC_2,TPHE_IST_Birth,TRUE
voiTPHE_5,-0.21077438696392162,0.7390059264719243,-0.28521339195502265,0.775480660991206,REC_2,TPHE_IST_Birth,TRUE
voiTPHE_6,-0.6630855163709999,1.75539221797997,-0.3777420849763424,0.7056222008124537,REC_2,TPHE_IST_Birth,TRUE
anova,NA,NA,NA,0.7238760057162721,REC_2,TPHE_IST_Birth,NA
(Intercept),-2.583727931571631,0.5945775996671991,-4.345484816477803,1.389683848630148e-5,REC_2,TPHE_IST_Disch,TRUE
MODVaginal,-0.6506851502568664,0.49530604058783767,-1.3137032398890636,0.18894609024726067,REC_2,TPHE_IST_Disch,TRUE
gaBirth,-0.2090442367362262,0.05188395225375849,-4.029073107496027,5.599720342300172e-5,REC_2,TPHE_IST_Disch,TRUE
voiTPHE_2,-0.5330482096769131,0.7340947801746873,-0.7261299549767504,0.4677591070516916,REC_2,TPHE_IST_Disch,TRUE
voiTPHE_3,0.1770143329079278,0.6547763969635167,0.27034317933392277,0.7868962492886246,REC_2,TPHE_IST_Disch,TRUE
voiTPHE_4,0.0540806062748382,0.772668969016201,0.06999194796666444,0.9442000685128584,REC_2,TPHE_IST_Disch,TRUE
voiTPHE_5,-0.9203171279427066,0.7598417036276146,-1.2111958629658715,0.2258203479259465,REC_2,TPHE_IST_Disch,TRUE
voiTPHE_6,-0.2756391622430004,1.480017255471946,-0.18624050579403884,0.852256160558782,REC_2,TPHE_IST_Disch,TRUE
anova,NA,NA,NA,0.6176313818728217,REC_2,TPHE_IST_Disch,NA
(Intercept),-2.5531068568596473,0.8884734963437105,-2.8735880894211445,0.004058378840511312,REC_2,TPHE_IST_1YR,TRUE
MODVaginal,-0.7220964117676592,0.49780847295442987,-1.4505506655644267,0.14690502129343702,REC_2,TPHE_IST_1YR,TRUE
gaBirth,-0.18034067386341382,0.050496778698528706,-3.57133026128394,3.551726958718388e-4,REC_2,TPHE_IST_1YR,TRUE
voiTPHE_6,-0.21753201422054216,0.9697993362011994,-0.2243062106771868,0.8225190439071179,REC_2,TPHE_IST_1YR,TRUE
voiTPHE_7,0.04350748634661519,0.8585996709000678,0.0506726100896433,0.9595864025829008,REC_2,TPHE_IST_1YR,TRUE
anova,NA,NA,NA,0.91702895991419,REC_2,TPHE_IST_1YR,NA
(Intercept),-2.6356748529475533,0.3696762903994562,-7.129683242870558,1.0060016811704335e-12,REC_2,Birth_TPHE_C1,TRUE
MODVaginal,-0.6011081759220778,0.5205662835523798,-1.1547197636774988,0.24820520348019776,REC_2,Birth_TPHE_C1,TRUE
gaBirth,-0.2932881368990843,0.07192299643981967,-4.077807536070721,4.546237481993962e-5,REC_2,Birth_TPHE_C1,TRUE
voi,-0.17788119927636614,0.2634625829320956,-0.6751668388608068,0.4995697724499682,REC_2,Birth_TPHE_C1,TRUE
anova,NA,NA,NA,0.48818051507444216,REC_2,Birth_TPHE_C1,NA
(Intercept),-2.753310877698586,0.3661636489486103,-7.519345204266858,5.505125456839065e-14,REC_2,Birth_TPHE_C2,TRUE
MODVaginal,-0.42604689357502984,0.5160063703130838,-0.8256620811028522,0.4089958079990962,REC_2,Birth_TPHE_C2,TRUE
gaBirth,-0.32051773108325876,0.07574935985035826,-4.231292933913063,2.323518346529543e-5,REC_2,Birth_TPHE_C2,TRUE
voi,-0.1994190479663462,0.2637781859606892,-0.7560103851653055,0.44964296920044294,REC_2,Birth_TPHE_C2,TRUE
anova,NA,NA,NA,0.3933024879174521,REC_2,Birth_TPHE_C2,NA
(Intercept),-2.675864072439843,0.3615192229544001,-7.401720026316168,1.344317030599471e-13,REC_2,Birth_TPHE_C3,TRUE
MODVaginal,-0.567147963323186,0.5160633555091817,-1.0989890238643294,0.27177285353950315,REC_2,Birth_TPHE_C3,TRUE
gaBirth,-0.30203656644376226,0.0707032662209663,-4.271889865735743,1.938233027461583e-5,REC_2,Birth_TPHE_C3,TRUE
