term,estimate,std.error,statistic,p.value,response,voi,produced_warning
(Intercept),-1.7000976386334707,0.4073838318357005,-4.173208423546683,3.003399552359872e-5,REC_2,TPHE_IST_Birth,TRUE
MODVaginal,-0.7305328842630235,0.45428685811256764,-1.6080872057320332,0.10781608091393556,REC_2,TPHE_IST_Birth,TRUE
voiTPHE_2,-0.6728620175822285,0.5275937445440289,-1.2753411588754664,0.20218851557934017,REC_2,TPHE_IST_Birth,TRUE
voiTPHE_3,-0.9982521695006739,0.7509252157948133,-1.3293629625209462,0.18372825097343667,REC_2,TPHE_IST_Birth,TRUE
voiTPHE_4,-1.1620348671068867,0.8039051960066873,-1.4454874441403913,0.14832101726888455,REC_2,TPHE_IST_Birth,TRUE
voiTPHE_5,-1.3163423231141258,0.6507378922097894,-2.0228456631656457,0.043089062130389454,REC_2,TPHE_IST_Birth,TRUE
voiTPHE_6,-1.7439628592477359,1.5576080220396311,-1.1196416778619822,0.2628664875105248,REC_2,TPHE_IST_Birth,TRUE
anova,NA,NA,NA,0.11064132815925012,REC_2,TPHE_IST_Birth,NA
(Intercept),-1.7149177129631556,0.5202788668623998,-3.29615101090913,9.801931214352285e-4,REC_2,TPHE_IST_Disch,TRUE
MODVaginal,-0.640316802903769,0.4327306221154993,-1.4797122509459553,0.1389500547845017,REC_2,TPHE_IST_Disch,TRUE
voiTPHE_2,-0.9879834246623634,0.660124829157944,-1.4966615116153656,0.13448135583014717,REC_2,TPHE_IST_Disch,TRUE
voiTPHE_3,-0.17069140069961464,0.5824143554374184,-0.2930755382418725,0.7694644138892547,REC_2,TPHE_IST_Disch,TRUE
voiTPHE_4,-0.6748042024625793,0.6945659608198965,-0.9715480465901474,0.33127543945317706,REC_2,TPHE_IST_Disch,TRUE
voiTPHE_5,-1.4296991796700866,0.6830404242761978,-2.0931399209426087,0.03633666596731485,REC_2,TPHE_IST_Disch,TRUE
voiTPHE_6,-0.12171464040580772,1.212281915096175,-0.10040126713937791,0.9200257638195596,REC_2,TPHE_IST_Disch,TRUE
anova,NA,NA,NA,0.1619680319664107,REC_2,TPHE_IST_Disch,NA
(Intercept),-2.263196556769139,0.8248748749039376,-2.7436846794887573,0.006075386392034129,REC_2,TPHE_IST_1YR,TRUE
MODVaginal,-0.6585369631214893,0.4366181467847791,-1.5082675055329298,0.13148607621962496,REC_2,TPHE_IST_1YR,TRUE
voiTPHE_6,-0.21132018389473375,0.8901739620335388,-0.23739200752624565,0.8123526896148052,REC_2,TPHE_IST_1YR,TRUE
voiTPHE_7,0.0900607799319296,0.7957934552067762,0.11317104877235828,0.9098949479139564,REC_2,TPHE_IST_1YR,TRUE
anova,NA,NA,NA,0.8604548384024775,REC_2,TPHE_IST_1YR,NA
(Intercept),-2.22308892824562,0.30761072257900124,-7.2269552556793,4.939427504357265e-13,REC_2,Birth_TPHE_C1,TRUE
MODVaginal,-0.93099246210299,0.4384650067970606,-2.123299345833295,0.03372877548853123,REC_2,Birth_TPHE_C1,TRUE
voi,-0.437069610078553,0.2533892715783216,-1.7248939047660372,0.08454659423431111,REC_2,Birth_TPHE_C1,TRUE
anova,NA,NA,NA,0.050460103261853385,REC_2,Birth_TPHE_C1,NA
(Intercept),-2.280987565778673,0.29752265677951845,-7.666601227848732,1.766137866701596e-14,REC_2,Birth_TPHE_C2,TRUE
MODVaginal,-0.7942724293582996,0.42376438520248944,-1.8743255853810565,0.06088556315023844,REC_2,Birth_TPHE_C2,TRUE
