estimate,std.error,statistic,p.value,term,response,voi,produced_warning
2.193,0.09967,22.01,0,log_alpha,REC_2,TPHE_IST_Birth,FALSE
1.04,0.1459,7.129,1.011e-12,log_beta,REC_2,TPHE_IST_Birth,FALSE
0.1161,0.1084,1.071,0.2842,MODVaginal,REC_2,TPHE_IST_Birth,FALSE
-0.1248,0.007904,-15.79,0,gaBirth,REC_2,TPHE_IST_Birth,FALSE
-0.1902,0.03386,-5.617,1.945e-8,voiTPHE_2,REC_2,TPHE_IST_Birth,FALSE
0.1356,0.4301,0.3153,0.7525,voiTPHE_3,REC_2,TPHE_IST_Birth,FALSE
2.836,NaN,NaN,NaN,voiTPHE_4,REC_2,TPHE_IST_Birth,FALSE
-0.269,0.3782,-0.7113,0.4769,voiTPHE_5,REC_2,TPHE_IST_Birth,FALSE
NA,NA,NA,0.02189511298567759,anova,REC_2,TPHE_IST_Birth,NA
2.372,0.1045,22.69,0,log_alpha,REC_2,TPHE_IST_Disch,FALSE
0.9513,0.1358,7.005,2.473e-12,log_beta,REC_2,TPHE_IST_Disch,FALSE
0.1866,0.04407,4.233,2.304e-5,MODVaginal,REC_2,TPHE_IST_Disch,FALSE
-0.1291,NaN,NaN,NaN,gaBirth,REC_2,TPHE_IST_Disch,FALSE
0.1993,NaN,NaN,NaN,voiTPHE_2,REC_2,TPHE_IST_Disch,FALSE
0.2348,0.1878,1.25,0.2112,voiTPHE_3,REC_2,TPHE_IST_Disch,FALSE
0.2277,0.3081,0.739,0.4599,voiTPHE_4,REC_2,TPHE_IST_Disch,FALSE
0.005212,0.347,0.01502,0.988,voiTPHE_5,REC_2,TPHE_IST_Disch,FALSE
-1.662,1.478,-1.124,0.2608,voiTPHE_6,REC_2,TPHE_IST_Disch,FALSE
NA,NA,NA,0.712062828018289,anova,REC_2,TPHE_IST_Disch,NA
2.331,0.1311,17.78,0,log_alpha,REC_2,TPHE_IST_1YR,FALSE
0.8156,0.151,5.403,6.562e-8,log_beta,REC_2,TPHE_IST_1YR,FALSE
0.139,0.2539,0.5473,0.5842,MODVaginal,REC_2,TPHE_IST_1YR,FALSE
-0.1206,0.02761,-4.368,1.253e-5,gaBirth,REC_2,TPHE_IST_1YR,FALSE
-0.4607,0.7695,-0.5987,0.5494,voiTPHE_6,REC_2,TPHE_IST_1YR,FALSE
-0.4887,0.689,-0.7093,0.4781,voiTPHE_7,REC_2,TPHE_IST_1YR,FALSE
NA,NA,NA,0.7770605927049296,anova,REC_2,TPHE_IST_1YR,NA
2.134,0.132,16.17,0,log_alpha,REC_2,Birth_TPHE_C1,FALSE
0.8654,0.1556,5.563,2.658e-8,log_beta,REC_2,Birth_TPHE_C1,FALSE
0.2509,0.2686,0.934,0.3503,MODVaginal,REC_2,Birth_TPHE_C1,FALSE
-0.119,0.03524,-3.376,7.348e-4,gaBirth,REC_2,Birth_TPHE_C1,FALSE
0.02156,0.203,0.1062,0.9154,voi,REC_2,Birth_TPHE_C1,FALSE
NA,NA,NA,0.9126890865666235,anova,REC_2,Birth_TPHE_C1,NA
2.133,0.18,11.85,0,log_alpha,REC_2,Birth_TPHE_C2,FALSE
0.8651,0.1548,5.588,2.298e-8,log_beta,REC_2,Birth_TPHE_C2,FALSE
0.2467,0.7002,0.3523,0.7246,MODVaginal,REC_2,Birth_TPHE_C2,FALSE
-0.1178,0.08712,-1.353,0.1762,gaBirth,REC_2,Birth_TPHE_C2,FALSE
0.006512,0.1156,0.05635,0.9551,voi,REC_2,Birth_TPHE_C2,FALSE
NA,NA,NA,0.9561589763808078,anova,REC_2,Birth_TPHE_C2,NA
2.134,0.1313,16.25,0,log_alpha,REC_2,Birth_TPHE_C3,FALSE
0.8647,0.1541,5.611,2.017e-8,log_beta,REC_2,Birth_TPHE_C3,FALSE
0.2466,0.2492,0.9894,0.3224,MODVaginal,REC_2,Birth_TPHE_C3,FALSE
-0.117,0.03359,-3.483,4.964e-4,gaBirth,REC_2,Birth_TPHE_C3,FALSE
0.01372,0.1299,0.1056,0.9159,voi,REC_2,Birth_TPHE_C3,FALSE
NA,NA,NA,0.9149611812543605,anova,REC_2,Birth_TPHE_C3,NA
2.135,0.1533,13.93,0,log_alpha,REC_2,Birth_TPHE_C4,FALSE
0.8657,0.16,5.409,6.33e-8,log_beta,REC_2,Birth_TPHE_C4,FALSE
0.2293,0.4044,0.5671,0.5706,MODVaginal,REC_2,Birth_TPHE_C4,FALSE
-0.1148,0.05432,-2.113,0.03462,gaBirth,REC_2,Birth_TPHE_C4,FALSE
-0.05849,0.1449,-0.4036,0.6865,voi,REC_2,Birth_TPHE_C4,FALSE
NA,NA,NA,0.6463111071291036,anova,REC_2,Birth_TPHE_C4,NA
2.138,0.1296,16.5,0,log_alpha,REC_2,Birth_TPHE_C5,FALSE
0.8698,0.1547,5.623,1.873e-8,log_beta,REC_2,Birth_TPHE_C5,FALSE
0.1831,0.2619,0.699,0.4846,MODVaginal,REC_2,Birth_TPHE_C5,FALSE
-0.1044,0.03629,-2.875,0.004034,gaBirth,REC_2,Birth_TPHE_C5,FALSE
