estimate,std.error,statistic,p.value,term,response,voi,produced_warning
2.191,0.1031,21.26,0,log_alpha,REC_2,TPHE_IST_Birth,FALSE
1.11,0.1597,6.951,3.639e-12,log_beta,REC_2,TPHE_IST_Birth,FALSE
0.1263,0.2086,0.6055,0.5449,MODVaginal,REC_2,TPHE_IST_Birth,FALSE
-0.6787,0.08415,-8.066,6.661e-16,milk_perinatalTRUE,REC_2,TPHE_IST_Birth,FALSE
0.04502,0.01627,2.766,0.005671,milk_months,REC_2,TPHE_IST_Birth,FALSE
-0.06576,0.08224,-0.7995,0.424,abx_hospital,REC_2,TPHE_IST_Birth,FALSE
-0.03202,0.1359,-0.2356,0.8137,abx_discharge,REC_2,TPHE_IST_Birth,FALSE
-0.1673,0.02408,-6.948,3.699e-12,gaBirth,REC_2,TPHE_IST_Birth,FALSE
-0.1904,0.2612,-0.729,0.466,voiTPHE_2,REC_2,TPHE_IST_Birth,FALSE
0.08732,0.3503,0.2493,0.8031,voiTPHE_3,REC_2,TPHE_IST_Birth,FALSE
3.053,0.6965,4.383,1.171e-5,voiTPHE_4,REC_2,TPHE_IST_Birth,FALSE
-0.4778,0.3866,-1.236,0.2165,voiTPHE_5,REC_2,TPHE_IST_Birth,FALSE
NA,NA,NA,0.006475332166534065,anova,REC_2,TPHE_IST_Birth,NA
2.361,0.1124,21.01,0,log_alpha,REC_2,TPHE_IST_Disch,FALSE
1.01,0.1431,7.059,1.682e-12,log_beta,REC_2,TPHE_IST_Disch,FALSE
0.219,0.4123,0.5312,0.5953,MODVaginal,REC_2,TPHE_IST_Disch,FALSE
-1.184,0.6602,-1.793,0.07298,milk_perinatalTRUE,REC_2,TPHE_IST_Disch,FALSE
0.03408,0.0647,0.5268,0.5983,milk_months,REC_2,TPHE_IST_Disch,FALSE
-0.03453,0.09429,-0.3662,0.7142,abx_hospital,REC_2,TPHE_IST_Disch,FALSE
-0.02407,0.05021,-0.4793,0.6317,abx_discharge,REC_2,TPHE_IST_Disch,FALSE
-0.1714,0.05243,-3.27,0.001076,gaBirth,REC_2,TPHE_IST_Disch,FALSE
0.2284,0.7997,0.2856,0.7752,voiTPHE_2,REC_2,TPHE_IST_Disch,FALSE
0.2993,0.679,0.4408,0.6593,voiTPHE_3,REC_2,TPHE_IST_Disch,FALSE
0.3112,1.944,0.1601,0.8728,voiTPHE_4,REC_2,TPHE_IST_Disch,FALSE
-0.1109,0.61,-0.1818,0.8558,voiTPHE_5,REC_2,TPHE_IST_Disch,FALSE
-1.663,3.069,-0.5419,0.5879,voiTPHE_6,REC_2,TPHE_IST_Disch,FALSE
NA,NA,NA,0.6357340154302956,anova,REC_2,TPHE_IST_Disch,NA
2.332,0.1349,17.29,0,log_alpha,REC_2,TPHE_IST_1YR,FALSE
0.8623,0.1513,5.7,1.197e-8,log_beta,REC_2,TPHE_IST_1YR,FALSE
0.19,0.2734,0.6951,0.487,MODVaginal,REC_2,TPHE_IST_1YR,FALSE
-1.562,1.185,-1.318,0.1874,milk_perinatalTRUE,REC_2,TPHE_IST_1YR,FALSE
0.06224,0.03884,1.602,0.1091,milk_months,REC_2,TPHE_IST_1YR,FALSE
0.03809,0.09786,0.3892,0.6971,abx_hospital,REC_2,TPHE_IST_1YR,FALSE
-0.066,0.04854,-1.36,0.1739,abx_discharge,REC_2,TPHE_IST_1YR,FALSE
-0.156,0.03981,-3.919,8.894e-5,gaBirth,REC_2,TPHE_IST_1YR,FALSE
0.8585,1.192,0.7205,0.4712,voiTPHE_6,REC_2,TPHE_IST_1YR,FALSE
0.6148,1.138,0.5402,0.5891,voiTPHE_7,REC_2,TPHE_IST_1YR,FALSE
NA,NA,NA,0.6938838885898438,anova,REC_2,TPHE_IST_1YR,NA
2.123,0.1376,15.43,0,log_alpha,REC_2,Birth_TPHE_C1,FALSE
0.8945,0.1581,5.658,1.527e-8,log_beta,REC_2,Birth_TPHE_C1,FALSE
0.2873,0.2983,0.9629,0.3356,MODVaginal,REC_2,Birth_TPHE_C1,FALSE
-0.6169,0.5551,-1.111,0.2665,milk_perinatalTRUE,REC_2,Birth_TPHE_C1,FALSE
0.04423,0.04522,0.9781,0.328,milk_months,REC_2,Birth_TPHE_C1,FALSE
-0.05732,0.1307,-0.4386,0.6609,abx_hospital,REC_2,Birth_TPHE_C1,FALSE
-0.01616,0.1548,-0.1044,0.9169,abx_discharge,REC_2,Birth_TPHE_C1,FALSE
-0.1539,0.05128,-3.001,0.00269,gaBirth,REC_2,Birth_TPHE_C1,FALSE
-0.0828,0.1956,-0.4233,0.6721,voi,REC_2,Birth_TPHE_C1,FALSE
NA,NA,NA,0.6773340082151362,anova,REC_2,Birth_TPHE_C1,NA
2.123,0.1358,15.63,0,log_alpha,REC_2,Birth_TPHE_C2,FALSE
0.8966,0.1586,5.652,1.583e-8,log_beta,REC_2,Birth_TPHE_C2,FALSE
