estimate,std.error,statistic,p.value,term,response,voi,produced_warning
2.231,0.1381,16.16,0,log_alpha,REC_2,TPHE_IST_Birth,FALSE
0.8468,0.1507,5.62,1.906e-8,log_beta,REC_2,TPHE_IST_Birth,FALSE
0.1037,0.2757,0.3761,0.7068,MODVaginal,REC_2,TPHE_IST_Birth,FALSE
-1.029,0.4265,-2.413,0.01582,voiTPHE_2,REC_2,TPHE_IST_Birth,FALSE
0.01202,0.4275,0.02812,0.9776,voiTPHE_3,REC_2,TPHE_IST_Birth,FALSE
1.583,0.8096,1.956,0.05052,voiTPHE_4,REC_2,TPHE_IST_Birth,FALSE
-1.084,0.5297,-2.046,0.04074,voiTPHE_5,REC_2,TPHE_IST_Birth,FALSE
NA,NA,NA,0.01921600227272624,anova,REC_2,TPHE_IST_Birth,NA
2.534,0.1329,19.07,0,log_alpha,REC_2,TPHE_IST_Disch,FALSE
0.6966,0.1318,5.287,1.244e-7,log_beta,REC_2,TPHE_IST_Disch,FALSE
0.1912,0.2733,0.6995,0.4842,MODVaginal,REC_2,TPHE_IST_Disch,FALSE
-0.01569,0.4571,-0.03432,0.9726,voiTPHE_2,REC_2,TPHE_IST_Disch,FALSE
0.2874,0.3191,0.9005,0.3678,voiTPHE_3,REC_2,TPHE_IST_Disch,FALSE
-0.2846,0.5659,-0.503,0.615,voiTPHE_4,REC_2,TPHE_IST_Disch,FALSE
0.07279,0.4908,0.1483,0.8821,voiTPHE_5,REC_2,TPHE_IST_Disch,FALSE
-0.9605,1.887,-0.509,0.6108,voiTPHE_6,REC_2,TPHE_IST_Disch,FALSE
NA,NA,NA,0.8092119244598875,anova,REC_2,TPHE_IST_Disch,NA
2.535,0.1582,16.03,0,log_alpha,REC_2,TPHE_IST_1YR,FALSE
0.5837,0.1435,4.068,4.744e-5,log_beta,REC_2,TPHE_IST_1YR,FALSE
0.1914,0.3206,0.5971,0.5505,MODVaginal,REC_2,TPHE_IST_1YR,FALSE
0.4162,0.8756,0.4753,0.6346,voiTPHE_6,REC_2,TPHE_IST_1YR,FALSE
0.1805,0.7714,0.2339,0.815,voiTPHE_7,REC_2,TPHE_IST_1YR,FALSE
NA,NA,NA,0.8519105205180924,anova,REC_2,TPHE_IST_1YR,NA
2.327,0.1475,15.78,0,log_alpha,REC_2,Birth_TPHE_C1,FALSE
0.6715,0.1483,4.529,5.913e-6,log_beta,REC_2,Birth_TPHE_C1,FALSE
0.2081,0.3024,0.6881,0.4914,MODVaginal,REC_2,Birth_TPHE_C1,FALSE
-0.1377,0.2122,-0.6488,0.5164,voi,REC_2,Birth_TPHE_C1,FALSE
NA,NA,NA,0.5175859670666483,anova,REC_2,Birth_TPHE_C1,NA
2.34,0.1459,16.04,0,log_alpha,REC_2,Birth_TPHE_C2,FALSE
0.6742,0.1485,4.54,5.625e-6,log_beta,REC_2,Birth_TPHE_C2,FALSE
0.2594,0.2977,0.8713,0.3836,MODVaginal,REC_2,Birth_TPHE_C2,FALSE
0.108,0.1415,0.7634,0.4453,voi,REC_2,Birth_TPHE_C2,FALSE
NA,NA,NA,0.4467878251514439,anova,REC_2,Birth_TPHE_C2,NA
2.334,0.1437,16.25,0,log_alpha,REC_2,Birth_TPHE_C3,FALSE
0.6893,0.1493,4.618,3.88e-6,log_beta,REC_2,Birth_TPHE_C3,FALSE
0.2648,0.2935,0.902,0.3671,MODVaginal,REC_2,Birth_TPHE_C3,FALSE
0.1548,0.1355,1.143,0.2532,voi,REC_2,Birth_TPHE_C3,FALSE
NA,NA,NA,0.2731421782790342,anova,REC_2,Birth_TPHE_C3,NA
2.339,0.1439,16.26,0,log_alpha,REC_2,Birth_TPHE_C4,FALSE
0.6887,0.1485,4.638,3.518e-6,log_beta,REC_2,Birth_TPHE_C4,FALSE
0.205,0.2939,0.6976,0.4854,MODVaginal,REC_2,Birth_TPHE_C4,FALSE
-0.1777,0.1446,-1.229,0.2192,voi,REC_2,Birth_TPHE_C4,FALSE
NA,NA,NA,0.21946907002293747,anova,REC_2,Birth_TPHE_C4,NA
2.282,0.1441,15.84,0,log_alpha,REC_2,Birth_TPHE_C5,FALSE
0.7202,0.1474,4.887,1.024e-6,log_beta,REC_2,Birth_TPHE_C5,FALSE
0.08315,0.2966,0.2804,0.7792,MODVaginal,REC_2,Birth_TPHE_C5,FALSE
0.3295,0.1517,2.172,0.02982,voi,REC_2,Birth_TPHE_C5,FALSE
NA,NA,NA,0.03000520111780769,anova,REC_2,Birth_TPHE_C5,NA
2.312,0.1441,16.05,0,log_alpha,REC_2,Birth_TPHE_C6,FALSE
0.7002,0.1488,4.707,2.517e-6,log_beta,REC_2,Birth_TPHE_C6,FALSE
0.1935,0.2924,0.6619,0.508,MODVaginal,REC_2,Birth_TPHE_C6,FALSE
0.2203,0.1344,1.639,0.1013,voi,REC_2,Birth_TPHE_C6,FALSE
NA,NA,NA,0.10352617265584507,anova,REC_2,Birth_TPHE_C6,NA
2.29,0.1389,16.48,0,log_alpha,REC_2,Birth_TPHE_C8,FALSE
0.7342,0.1499,4.899,9.635e-7,log_beta,REC_2,Birth_TPHE_C8,FALSE
0.2029,0.2817,0.72,0.4715,MODVaginal,REC_2,Birth_TPHE_C8,FALSE
-0.3483,0.1598,-2.179,0.02932,voi,REC_2,Birth_TPHE_C8,FALSE
NA,NA,NA,0.03909735693824856,anova,REC_2,Birth_TPHE_C8,NA
2.325,0.1447,16.07,0,log_alpha,REC_2,Birth_TPHE_C9,FALSE
0.6844,0.1488,4.601,4.211e-6,log_beta,REC_2,Birth_TPHE_C9,FALSE
0.192,0.2975,0.6453,0.5187,MODVaginal,REC_2,Birth_TPHE_C9,FALSE
-0.2161,0.1946,-1.111,0.2668,voi,REC_2,Birth_TPHE_C9,FALSE
NA,NA,NA,0.2906269928038112,anova,REC_2,Birth_TPHE_C9,NA
2.305,0.1429,16.12,0,log_alpha,REC_2,Birth_TPHE_C10,FALSE
0.7052,0.1489,4.735,2.191e-6,log_beta,REC_2,Birth_TPHE_C10,FALSE
