scenario,term,estimate,std.error,statistic,p.value,response,voi,produced_warning,site,model_type,specification,voi_full,sign_max,fdr
1,(Intercept),-5.288690496147472,1.3194046631613667,-4.008391544922599,6.11337026530983e-5,REC_10,ICS_IST_1YR,TRUE,REC,logit,mod_only,ICS_IST_1YR,1,0.7388118434588992
1,MODVaginal,-1.3393160962283972,0.9495858270651095,-1.4104213205959795,0.15841531357063104,REC_10,ICS_IST_1YR,TRUE,REC,logit,mod_only,ICS_IST_1YR,1,0.7388118434588992
1,voiICS_5,-0.326230135894022,1.9865087514380915,-0.16422285361584968,0.8695557107607761,REC_10,ICS_IST_1YR,TRUE,REC,logit,mod_only,ICS_IST_1YR,1,0.7388118434588992
1,voiICS_6,-1.0344369620482845,1.716904854020431,-0.6025010411182488,0.5468406703769297,REC_10,ICS_IST_1YR,TRUE,REC,logit,mod_only,ICS_IST_1YR,1,0.7388118434588992
1,voiICS_7,1.7709354273076154,1.411690214058888,1.2544787869683012,0.20966803137822476,REC_10,ICS_IST_1YR,TRUE,REC,logit,mod_only,ICS_IST_1YR,1,0.7388118434588992
1,voiICS_8,0.07431330460779255,1.3198366025688437,0.05630492779420876,0.9550988932524519,REC_10,ICS_IST_1YR,TRUE,REC,logit,mod_only,ICS_IST_1YR,1,0.7388118434588992
1,anova,NA,NA,NA,0.3387396918878649,REC_10,ICS_IST_1YR,NA,REC,logit,mod_only,ICS_IST_1YR,1,0.7388118434588992
2,(Intercept),-3.8550648565963304,0.5828584376975989,-6.614067168392665,3.7390195199538455e-11,NAS_8,TPHE_IST_Disch,TRUE,NAS,logit,mod_only,TPHE_IST_Disch,-1,0.10702161053801333
2,MODVaginal,0.1119001697839846,0.4952953906954626,0.2259261278948335,0.8212588760318339,NAS_8,TPHE_IST_Disch,TRUE,NAS,logit,mod_only,TPHE_IST_Disch,-1,0.10702161053801333
2,voiTPHE_2,1.5176262595912458,0.716715096508287,2.117474945044217,0.034219559516760784,NAS_8,TPHE_IST_Disch,TRUE,NAS,logit,mod_only,TPHE_IST_Disch,-1,0.10702161053801333
2,voiTPHE_3,0.427506807965293,0.6442764070345721,0.6635456510552509,0.5069811521552984,NAS_8,TPHE_IST_Disch,TRUE,NAS,logit,mod_only,TPHE_IST_Disch,-1,0.10702161053801333
2,voiTPHE_4,0.777749478069839,0.7792145787411046,0.998119772510375,0.3182212833065742,NAS_8,TPHE_IST_Disch,TRUE,NAS,logit,mod_only,TPHE_IST_Disch,-1,0.10702161053801333
2,voiTPHE_5,-2.643466189196757,1.511939751187012,-1.7483938676269293,0.0803958490539992,NAS_8,TPHE_IST_Disch,TRUE,NAS,logit,mod_only,TPHE_IST_Disch,-1,0.10702161053801333
2,voiTPHE_6,-0.5434669807225773,1.839693994771462,-0.2954116185991519,0.7676794587875124,NAS_8,TPHE_IST_Disch,TRUE,NAS,logit,mod_only,TPHE_IST_Disch,-1,0.10702161053801333
2,anova,NA,NA,NA,0.002171576133337406,NAS_8,TPHE_IST_Disch,NA,NAS,logit,mod_only,TPHE_IST_Disch,-1,0.10702161053801333
3,(Intercept),-3.518540407270944,1.2370606042814556,-2.844274884426282,0.005561355002833561,REC_10,ICS_IST_1YR,TRUE,REC,duration,mod_only,ICS_IST_1YR,1,0.8876448887592232
3,MODVaginal,-2.295399099371426,1.070756427750001,-2.1437173197220845,0.03487864667736887,REC_10,ICS_IST_1YR,TRUE,REC,duration,mod_only,ICS_IST_1YR,1,0.8876448887592232
3,voiICS_5,-0.4559020097675897,1.936490300083843,-0.23542695243443812,0.8144370789911222,REC_10,ICS_IST_1YR,TRUE,REC,duration,mod_only,ICS_IST_1YR,1,0.8876448887592232
3,voiICS_6,-1.022762612648718,1.7333422827656313,-0.590052306932045,0.5567028004168606,REC_10,ICS_IST_1YR,TRUE,REC,duration,mod_only,ICS_IST_1YR,1,0.8876448887592232
3,voiICS_7,1.1505706923631895,1.3315005280543697,0.8641158363222278,0.389928023537212,REC_10,ICS_IST_1YR,TRUE,REC,duration,mod_only,ICS_IST_1YR,1,0.8876448887592232
3,voiICS_8,0.5997542437976664,1.252412086584626,0.4788793163384572,0.633239839041003,REC_10,ICS_IST_1YR,TRUE,REC,duration,mod_only,ICS_IST_1YR,1,0.8876448887592232
3,anova,NA,NA,NA,0.5981851967128125,REC_10,ICS_IST_1YR,NA,REC,duration,mod_only,ICS_IST_1YR,1,0.8876448887592232
4,(Intercept),-3.152333722376525,0.46323193150120845,-6.8050872748790665,1.1321424961051127e-9,NAS_8,TPHE_IST_Disch,TRUE,NAS,duration,mod_only,TPHE_IST_Disch,-1,0.025450822226398148
4,MODVaginal,-0.19757464343483863,0.33491081414179186,-0.5899321105564274,0.556730975360587,NAS_8,TPHE_IST_Disch,TRUE,NAS,duration,mod_only,TPHE_IST_Disch,-1,0.025450822226398148
4,voiTPHE_2,1.013861030889766,0.520787213071539,1.9467855689277358,0.05471407794274404,NAS_8,TPHE_IST_Disch,TRUE,NAS,duration,mod_only,TPHE_IST_Disch,-1,0.025450822226398148
4,voiTPHE_3,0.384264895989758,0.5139572893685027,0.7476592003625491,0.4566366961212057,NAS_8,TPHE_IST_Disch,TRUE,NAS,duration,mod_only,TPHE_IST_Disch,-1,0.025450822226398148
4,voiTPHE_4,1.2015116869482683,0.5655662183147805,2.1244403361438677,0.036406168177008154,NAS_8,TPHE_IST_Disch,TRUE,NAS,duration,mod_only,TPHE_IST_Disch,-1,0.025450822226398148
4,voiTPHE_5,-2.5858714709917563,1.521494529258989,-1.6995601504076054,0.09270641310916139,NAS_8,TPHE_IST_Disch,TRUE,NAS,duration,mod_only,TPHE_IST_Disch,-1,0.025450822226398148
