"","var_names","voi_names","var_coeffs","var_exp_coeffs","variable_pvals","adj_variable_pvals"
"1",TPHE_IST_Birth,voiTPHE_2,-1.504,0.2223,0.0778,0.312300967741935
"2",TPHE_IST_Disch,voiTPHE_3,-0.5213,0.5937,0.3785,0.7634
"3",TPHE_IST_Disch,voiTPHE_5,-0.613,0.5417,0.4132,0.7872
"4",TPHE_IST_1YR,voiTPHE_7,0.07144,1.074,0.9007,0.957717948717949
"5",ICS_IST_Birth,voiICS_2,0.2557,1.291,0.6543,0.947291191709845
"6",ICS_IST_Birth,voiICS_3,-1.228,0.293,0.1239,0.41752602739726
"7",ICS_IST_Birth,voiICS_4,-1.442,0.2365,0.0296,0.22755
"8",ICS_IST_Disch,voiICS_2,0.622,1.863,0.344,0.735860869565217
"9",ICS_IST_Disch,voiICS_6,-0.6206,0.5376,0.3216,0.702297345132743
"10",Birth_CD4_C1,voi,-0.02842,0.972,0.8775,0.957717948717949
"11",Birth_CD4_C2,voi,0.07157,1.074,0.7265,0.947291191709845
"12",Birth_CD4_C3,voi,0.3222,1.38,0.1468,0.444
"13",Birth_CD4_C4,voi,-0.1071,0.8984,0.5768,0.926757692307692
"14",Birth_CD4_C5,voi,-0.03146,0.969,0.8666,0.957717948717949
"15",Birth_CD4_C6,voi,-0.244,0.7835,0.27,0.644854368932039
"16",Birth_CD4_C7,voi,0.1303,1.139,0.4892,0.891388235294118
"17",Birth_CD4_C8,voi,-0.1569,0.8548,0.3961,0.7795248
"18",Birth_CD4_C9,voi,0.2567,1.293,0.2537,0.631648484848485
"19",Birth_CD4_C10,voi,-0.4832,0.6168,0.0421,0.271483076923077
"20",Birth_CD4_C11,voi,-0.1052,0.9002,0.6179,0.932536196319018
"21",Birth_CD4_C12,voi,0.03544,1.036,0.8602,0.957717948717949
"22",Birth_CD4_C13,voi,-0.4973,0.6081,0.05655,0.285311764705882
"23",Birth_CD4_C14,voi,0.0813,1.085,0.6901,0.947291191709845
"24",Birth_CD4_C15,voi,-0.2272,0.7968,0.2415,0.61884375
"25",Birth_CD4_C16,voi,-0.06951,0.9329,0.7207,0.947291191709845
"26",Birth_CD4_C17,voi,-0.1241,0.8833,0.5593,0.926757692307692
"27",Birth_CD4_C18,voi,0.1009,1.106,0.6895,0.947291191709845
"28",Birth_CD8_C1,voi,-0.06549,0.9366,0.7282,0.947291191709845
"29",Birth_CD8_C2,voi,0.04472,1.046,0.812,0.955534285714286
"30",Birth_CD8_C3,voi,0.04986,1.051,0.795,0.955534285714286
"31",Birth_CD8_C4,voi,0.03219,1.033,0.8763,0.957717948717949
"32",Birth_CD8_C5,voi,-0.237,0.789,0.2086,0.545910638297872
"33",Birth_CD8_C6,voi,0.5938,1.811,0.004511,0.0739804
"34",Birth_CD8_C7,voi,0.611,1.842,0.005127,0.078827625
"35",Birth_CD8_C8,voi,-0.4017,0.6692,0.06795,0.29315
"36",Birth_CD8_C9,voi,-0.3837,0.6813,0.05845,0.285311764705882
"37",Birth_CD8_C10,voi,-0.6703,0.5116,0.0005835,0.0221290666666667
"38",Birth_CD8_C11,voi,-0.01487,0.9852,0.9457,0.981612658227848
"39",Birth_CD8_C12,voi,0.3593,1.432,0.06963,0.29315
"40",Discharge_CD4_C1,voi,-0.2222,0.8007,0.3129,0.693454054054054
"41",Discharge_CD4_C2,voi,-0.1148,0.8915,0.5634,0.926757692307692
"42",Discharge_CD4_C3,voi,0.3262,1.386,0.1195,0.408291666666667
"43",Discharge_CD4_C4,voi,0.01859,1.019,0.9087,0.957717948717949
