"","var_names","voi_names","var_coeffs","var_exp_coeffs","variable_pvals","adj_variable_pvals"
"1",TPHE_IST_Disch,voiTPHE_2,0.01671,1.017,0.9587,0.9944
"2",TPHE_IST_Disch,voiTPHE_3,0.3188,1.375,0.2505,0.794746987951807
"3",Birth_CD4_C1,voi,0.08489,1.089,0.2898,0.817721428571429
"4",Birth_CD4_C2,voi,0.1121,1.119,0.197,0.739168115942029
"5",Birth_CD4_C3,voi,0.1426,1.153,0.1105,0.720259090909091
"6",Birth_CD4_C4,voi,0.1428,1.154,0.06552,0.720259090909091
"7",Birth_CD4_C5,voi,0.05216,1.054,0.5254,0.916221232876712
"8",Birth_CD4_C6,voi,0.09023,1.094,0.2923,0.817721428571429
"9",Birth_CD4_C7,voi,-0.03277,0.9678,0.7508,0.9944
"10",Birth_CD4_C8,voi,0.0783,1.081,0.3285,0.817721428571429
"11",Birth_CD4_C9,voi,0.02119,1.021,0.8105,0.9944
"12",Birth_CD4_C10,voi,0.05522,1.057,0.5688,0.924783673469388
"13",Birth_CD4_C11,voi,-0.2276,0.7965,0.01112,0.379668571428571
"14",Birth_CD4_C12,voi,-0.2319,0.7931,0.01412,0.421835
"15",Birth_CD4_C13,voi,-0.08314,0.9202,0.4771,0.901632061068702
"16",Birth_CD4_C14,voi,0.03701,1.038,0.7227,0.991044382022472
"17",Birth_CD4_C15,voi,-0.101,0.9039,0.2672,0.794746987951807
"18",Birth_CD4_C16,voi,-0.2053,0.8144,0.03332,0.720259090909091
"19",Birth_CD4_C17,voi,0.008423,1.008,0.9374,0.9944
"20",Birth_CD4_C18,voi,-0.009184,0.9909,0.93,0.9944
"21",Birth_CD8_C1,voi,0.05289,1.054,0.5402,0.916221232876712
"22",Birth_CD8_C2,voi,0.0993,1.104,0.1983,0.739168115942029
"23",Birth_CD8_C3,voi,0.1053,1.111,0.1944,0.739168115942029
"24",Birth_CD8_C4,voi,0.01511,1.015,0.871,0.9944
"25",Birth_CD8_C5,voi,0.09851,1.104,0.2605,0.794746987951807
"26",Birth_CD8_C6,voi,0.1302,1.139,0.1299,0.720259090909091
"27",Birth_CD8_C7,voi,-0.002958,0.997,0.9742,0.9944
"28",Birth_CD8_C8,voi,-0.1382,0.8709,0.1825,0.739168115942029
"29",Birth_CD8_C9,voi,0.1739,1.19,0.04237,0.720259090909091
"30",Birth_CD8_C10,voi,0.002907,1.003,0.9752,0.9944
"31",Birth_CD8_C11,voi,0.03284,1.033,0.7142,0.991044382022472
"32",Birth_CD8_C12,voi,-0.1529,0.8582,0.07935,0.720259090909091
"33",Discharge_CD4_C1,voi,-0.03198,0.9685,0.7212,0.991044382022472
"34",Discharge_CD4_C2,voi,-0.02318,0.9771,0.8146,0.9944
"35",Discharge_CD4_C3,voi,-0.05369,0.9477,0.5951,0.94865816993464
"36",Discharge_CD4_C4,voi,-0.07857,0.9244,0.4545,0.89350737704918
